"Test Case ID","Title","Module","Source UML Pages","Preconditions","Test Data","Test Steps","Expected Result"
"TC-InitialConfiguration-001","Test Initial Configuration Flow","Initial Configuration State Machine","1","Application is launched","User chooses to start a new configuration","1. User launches the application.
2. The application starts in the Initial Configuration state.
3. User chooses to start a new configuration.","The application proceeds to the Add Vehicle state."
"TC-InitialConfiguration-002","Test Configuration Existence Flow","Initial Configuration State Machine","1","Application is launched and a configuration already exists","User chooses not to start a new configuration","1. User launches the application.
2. The application starts in the Initial Configuration state.
3. User chooses not to start a new configuration.","The application proceeds to the Access List of Distributors state."
"TC-InitialConfiguration-003","Test Manual Vehicle Addition Flow","Initial Configuration State Machine","1","Application is launched and a new configuration is started","User chooses to add a vehicle manually","1. User launches the application.
2. The application starts in the Initial Configuration state.
3. User chooses to start a new configuration.
4. User chooses to add a vehicle manually.","The application proceeds to the Add Vehicle state."
"TC-InitialConfiguration-004","Test Vehicle Selection and Addition Flow","Initial Configuration State Machine","1","Application is launched and a new configuration is started","User chooses to select a vehicle from the list","1. User launches the application.
2. The application starts in the Initial Configuration state.
3. User chooses to start a new configuration.
4. User chooses to select a vehicle from the list.","The application proceeds to the Add Vehicle state with the selected vehicle."
"TC-InitialConfiguration-005","Test No More Vehicle Addition Flow","Initial Configuration State Machine","1","Application is launched and a new configuration is started with at least one vehicle","User chooses not to add another vehicle","1. User launches the application.
2. The application starts in the Initial Configuration state.
3. User chooses to start a new configuration.
4. User adds at least one vehicle.
5. User chooses not to add another vehicle.","The application proceeds to the Initial Configuration state."
"TC-WebsiteAccess-001","Test Accessing the Website","Access Website Activity","2","User has access to the application","N/A","1. User accesses the application.
2. The application navigates to the website.","The user is able to access the website."
"TC-DistributorList-001","Test Displaying Distributor List","Visualizza lista distributori Activity","2","User has accessed the website and distributors are available","N/A","1. User accesses the website.
2. The application navigates to the distributor list.","The user is able to see the list of available distributors."
"TC-DistributorList-002","Test Displaying Unavailable Distributor List","Visualizza lista distributori Activity","2","User has accessed the website and distributors are not available","N/A","1. User accesses the website.
2. The application navigates to the distributor list.","The user is able to see the list of unavailable distributors."
"TC-DistributorDetails-001","Test Viewing Distributor Details","Visualizza informazioni distributore Activity","2","User has accessed the website and a distributor is available","N/A","1. User accesses the website.
2. The application navigates to the distributor list.
3. User selects a distributor.
4. The application navigates to the distributor details.","The user is able to see the details of the selected distributor."
"TC-DistributorDetails-002","Test Canceling Distributor Details","Annullare apertura finestra applicativa del dettaglio del distributore Activity","2","User has accessed the website and a distributor is available","N/A","1. User accesses the website.
2. The application navigates to the distributor list.
3. User selects a distributor.
4. The application navigates to the distributor details.
5. User chooses to cancel the opening of the distributor detail window.","The distributor detail window is closed."
"TC-SettingsPage-001","Test Accessing the Settings Page","Accesso pagina impostazioni Activity","3","User has accessed the application","N/A","1. User accesses the application.
2. The application navigates to the settings page.","The user is able to access the settings page."
"TC-SettingsPage-002","Test Evaluating Settings","Valutazione le impostazioni State","3","User has accessed the settings page","User chooses to evaluate settings","1. User accesses the settings page.
2. User chooses to evaluate settings.","The user is able to evaluate the settings."
"TC-SettingsPage-003","Test Viewing Distributor Data","Mostra i dati dei distributori State","3","User has accessed the settings page and chosen to evaluate settings","N/A","1. User accesses the settings page.
2. User chooses to evaluate settings.
3. The application navigates to the distributor data.","The user is able to see the distributor data."
"TC-SettingsPage-004","Test Viewing Statistic Data","Mostra i dati statistiche State","3","User has accessed the settings page and chosen to evaluate settings","N/A","1. User accesses the settings page.
2. User chooses to evaluate settings.
3. The application navigates to the statistic data.","The user is able to see the statistic data."
"TC-SettingsPage-005","Test Adding Vehicle List","Aggiungi lista dei veicoli State","3","User has accessed the settings page and chosen to evaluate settings","User chooses to add a vehicle list","1. User accesses the settings page.
2. User chooses to evaluate settings.
3. The application navigates to the vehicle list addition.
4. User adds a vehicle list.","The user is able to add a vehicle list."
"TC-SettingsPage-006","Test Viewing Completed Actions Popup","Visualizza popup con informazioni effettuate State","3","User has accessed the settings page, chosen to evaluate settings, and added a vehicle list","N/A","1. User accesses the settings page.
2. User chooses to evaluate settings.
3. The application navigates to the vehicle list addition.
4. User adds a vehicle list.
5. The application navigates to the completed actions popup.","The user is able to see the completed actions popup."
