test_case_id,module,project,unit,run_id,file,file_output_dir
TC-Profile-001,ProfileFragment,Code_File2,Profile_09,,Ecodriving/app/src/main/java/com/example/ecodriving/ui/Profile/ProfileFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/Profile_09__ProfileFragment_001
TC-Profile-002,ProfileFragment,Code_File2,Profile_09,,Ecodriving/app/src/main/java/com/example/ecodriving/ui/Profile/ProfileFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/Profile_09__ProfileFragment_001
TC-Profile-003,ProfileFragment,Code_File2,Profile_09,,Ecodriving/app/src/main/java/com/example/ecodriving/ui/Profile/ProfileFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/Profile_09__ProfileFragment_001
TC-Profile-004,ProfileFragment,Code_File2,Profile_09,,Ecodriving/app/src/main/java/com/example/ecodriving/ui/Profile/ProfileFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/Profile_09__ProfileFragment_001
TC-Profile-005,ProfileFragment,Code_File2,Profile_09,,Ecodriving/app/src/main/java/com/example/ecodriving/ui/Profile/ProfileFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/Profile_09__ProfileFragment_001
TC-Profile-006,ProfileFragment,Code_File2,Profile_09,,Ecodriving/app/src/main/java/com/example/ecodriving/ui/Profile/ProfileFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/Profile_09__ProfileFragment_001
TC-Profile-007,ProfileFragment,Code_File2,Profile_09,,Ecodriving/app/src/main/java/com/example/ecodriving/ui/Profile/ProfileFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/Profile_09__ProfileFragment_001
TC-ExampleInstrumentedTest-001,ExampleInstrumentedTest,Code_File2,app_01,,Ecodriving/app/src/androidTest/java/com/example/ecodriving/ExampleInstrumentedTest.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__ExampleInstrumentedTest_002
TC-ExampleUnitTest-001,ExampleUnitTest,Code_File2,app_01,,Ecodriving/app/src/test/java/com/example/ecodriving/ExampleUnitTest.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__ExampleUnitTest_010
TC-HOMEFRAG-001,HomeFragment,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/ui/home/HomeFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__HomeFragment_008
TC-HOMEFRAG-002,HomeFragment,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/ui/home/HomeFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__HomeFragment_008
TC-HOMEFRAG-003,HomeFragment,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/ui/home/HomeFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__HomeFragment_008
TC-HOMEFRAG-004,HomeFragment,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/ui/home/HomeFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__HomeFragment_008
TC-HOMEFRAG-005,HomeFragment,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/ui/home/HomeFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__HomeFragment_008
TC-HOMEFRAG-006,HomeFragment,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/ui/home/HomeFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__HomeFragment_008
TC-HOMEFRAG-007,HomeFragment,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/ui/home/HomeFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__HomeFragment_008
TC-HOMEFRAG-008,HomeFragment,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/ui/home/HomeFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__HomeFragment_008
TC-HOMEFRAG-009,HomeFragment,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/ui/home/HomeFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__HomeFragment_008
TC-HOMEFRAG-010,HomeFragment,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/ui/home/HomeFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__HomeFragment_008
TC-Login-001,LoginActivity,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/LoginActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__LoginActivity_003
TC-Login-002,LoginActivity,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/LoginActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__LoginActivity_003
TC-Login-003,LoginActivity,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/LoginActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__LoginActivity_003
TC-Login-004,LoginActivity,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/LoginActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__LoginActivity_003
TC-Login-005,LoginActivity,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/LoginActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__LoginActivity_003
TC-Login-006,LoginActivity,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/LoginActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__LoginActivity_003
TC-Login-007,LoginActivity,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/LoginActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__LoginActivity_003
TC-MainActivity-001,MainActivity,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/MainActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__MainActivity_004
TC-Profile-001,ProfileFragment,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/ui/Profile/ProfileFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__ProfileFragment_007
TC-Profile-002,ProfileFragment,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/ui/Profile/ProfileFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__ProfileFragment_007
TC-Profile-003,ProfileFragment,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/ui/Profile/ProfileFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__ProfileFragment_007
TC-Profile-004,ProfileFragment,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/ui/Profile/ProfileFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__ProfileFragment_007
TC-Profile-005,ProfileFragment,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/ui/Profile/ProfileFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__ProfileFragment_007
TC-Profile-006,ProfileFragment,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/ui/Profile/ProfileFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__ProfileFragment_007
TC-Profile-007,ProfileFragment,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/ui/Profile/ProfileFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__ProfileFragment_007
TC-Registration-001,RegistrationActivity,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/RegistrationActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__RegistrationActivity_005
TC-Registration-002,RegistrationActivity,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/RegistrationActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__RegistrationActivity_005
TC-Registration-003,RegistrationActivity,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/RegistrationActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__RegistrationActivity_005
TC-Registration-004,RegistrationActivity,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/RegistrationActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__RegistrationActivity_005
TC-Registration-005,RegistrationActivity,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/RegistrationActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__RegistrationActivity_005
TC-Speedometer-001,Speedometer,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__Speedometer_006
TC-Speedometer-002,Speedometer,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__Speedometer_006
TC-Speedometer-003,Speedometer,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__Speedometer_006
TC-Speedometer-004,Speedometer,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__Speedometer_006
TC-Speedometer-005,Speedometer,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__Speedometer_006
TC-Speedometer-006,Speedometer,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__Speedometer_006
TC-Speedometer-007,Speedometer,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__Speedometer_006
TC-Speedometer-008,Speedometer,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__Speedometer_006
TC-Speedometer-009,Speedometer,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__Speedometer_006
TC-Speedometer-010,Speedometer,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__Speedometer_006
TC-Speedometer-011,Speedometer,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__Speedometer_006
TC-Speedometer-012,Speedometer,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__Speedometer_006
TC-Speedometer-013,Speedometer,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__Speedometer_006
TC-Speedometer-014,Speedometer,Code_File2,app_01,,Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__Speedometer_006
