"Test Case ID","Title","Module","Source UML Pages","Preconditions","Test Data","Test Steps","Expected Result"
"TC-DashboardActivity-001","Verify DashboardActivity is drawn correctly","DashboardActivity","1","App is launched","None","1. Launch the application
2. Verify that the DashboardActivity is displayed
3. Check that the BrowserLayout, navigationView, and toolbar are present","DashboardActivity is drawn correctly"
"TC-MainActivity-001","Verify MainActivity onCreate() method","MainActivity","1","App is launched","None","1. Launch the application
2. Verify that the MainActivity is created","MainActivity is created successfully"
"TC-SignInActivity-001","Verify SignInActivity onCreate() method","SignInActivity","1","App is launched","None","1. Launch the application
2. Verify that the SignInActivity is created","SignInActivity is created successfully"
"TC-UserListActivity-001","Verify UserListActivity onCreate() method","UserListActivity","1","App is launched","None","1. Launch the application
2. Verify that the UserListActivity is created","UserListActivity is created successfully"
"TC-Home-001","Verify Home page weather display","Home","2","User is on the Home page","None","1. Open the Home page
2. Verify that the local weather is displayed","Local weather is displayed correctly"
"TC-Home-002","Verify Home page zoom in functionality","Home","2","User is on the Home page","None","1. Open the Home page
2. Click on the zoom in button
3. Verify that the weather information is zoomed in","Weather information is zoomed in correctly"
"TC-Home-003","Verify Home page search functionality","Home","2","User is on the Home page","Other location name","1. Open the Home page
2. Enter a location name in the search bar
3. Click on the search button
4. Verify that the weather information for the entered location is displayed","Weather information for the entered location is displayed correctly"
"TC-Trekking-001","Verify trekking route selection","Trekking","3","User is on the Trekking page","Province name, Route name","1. Open the Trekking page
2. Select a province
3. Select a route within the selected province
4. Verify that the selected route is displayed","Selected route is displayed correctly"
"TC-Weather-001","Verify weather data request and display","Weather","4","User is on the Weather page","None","1. Open the Weather page
2. Verify that the weather data is requested and displayed","Weather data is requested and displayed correctly"
"TC-Health-001","Verify health-related data request and display","Health","5","User is on the Health page","None","1. Open the Health page
2. Verify that the health-related data is requested and displayed","Health-related data is requested and displayed correctly"
