"Test Case ID","Title","Module","Source UML Pages","Preconditions","Test Data","Test Steps","Expected Result"
"TC-USE_CASE-001","Test Insertion/Modification of Plants","Use Case","1","User is logged in","Valid plant data","1. Navigate to the Insertion/Modifica Piante use case
2. Enter valid plant data
3. Click on the ""Save"" button","The plant data is saved successfully"
"TC-USE_CASE-002","Test Reading Plants","Use Case","1","User is logged in","None","1. Navigate to the Lettura Piante use case
2. Verify that the list of plants is displayed","The list of plants is displayed correctly"
"TC-USE_CASE-003","Test User Information","Use Case","1","User is logged in","None","1. Navigate to the Informazioni Utente use case
2. Verify that the user's information is displayed","The user's information is displayed correctly"
"TC-USE_CASE-004","Test Insertion/Modification of Diary","Use Case","1","User is logged in","Valid diary data","1. Navigate to the Inserimento/Modifica Diario use case
2. Enter valid diary data
3. Click on the ""Save"" button","The diary data is saved successfully"
"TC-USE_CASE-005","Test Reading Diary","Use Case","1","User is logged in","None","1. Navigate to the Lettura Diario use case
2. Verify that the diary entries are displayed","The diary entries are displayed correctly"
"TC-USE_CASE-006","Test Access Operations","Use Case","1","User is logged in","None","1. Navigate to the Operazioni di Accesso use case
2. Verify that the user can log out","The user is successfully logged out"
"TC-CLASS-001","Test Page Class","Class","2","None","None","1. Verify that the Page class is correctly defined
2. Verify that the attributes and operations are defined correctly","The Page class is defined correctly"
"TC-CLASS-002","Test Home Page Class","Class","2","None","None","1. Verify that the Home class is correctly defined
2. Verify that the attributes and operations are defined correctly","The Home class is defined correctly"
"TC-CLASS-003","Test Diary Class","Class","2","None","None","1. Verify that the Diario class is correctly defined
2. Verify that the attributes and operations are defined correctly","The Diario class is defined correctly"
"TC-CLASS-004","Test Plant Analysis Class","Class","2","None","None","1. Verify that the Analisi Pianta class is correctly defined
2. Verify that the attributes and operations are defined correctly","The Analisi Pianta class is defined correctly"
"TC-CLASS-005","Test Disease Detector Class","Class","2","None","None","1. Verify that the Rilevatore Malattia class is correctly defined
2. Verify that the attributes and operations are defined correctly","The Rilevatore Malattia class is defined correctly"
"TC-CLASS-006","Test Camera Class","Class","2","None","None","1. Verify that the Fotocamera class is correctly defined
2. Verify that the attributes and operations are defined correctly","The Fotocamera class is defined correctly"
"TC-SEQUENCE-001","Test Authentication Sequence","Sequence","3","None","Valid user credentials","1. Request token from the local user
2. Send token for authentication
3. Receive authentication status
4. Request user data
5. Create new LocalUser instance
6. Complete authentication process","The user is successfully authenticated"
"TC-SEQUENCE-002","Test Plant Addition Sequence","Sequence","4","User is authenticated","Valid plant photo","1. Request for plant species identification
2. Receive plant species response
3. Insert the species into the storage
4. Confirm the insertion
5. Upload the new photo to the correct folder
6. Receive the download URL of the uploaded photo","The plant is added successfully"
"TC-SEQUENCE-003","Test Reading Plant Data Sequence","Sequence","5","User is authenticated","None","1. Request personal storage path
2. Receive personal storage path
3. Request photos for each species present
4. Receive download URLs for each requested photo","The plant data is displayed correctly"
