"Test Case ID","Title","Module","Source Pages","Preconditions","Test Data","Test Steps","Expected Result"
"TC-General-001","Estimate CO2 emissions based on electricity consumption","General","4","User has provided electricity consumption data","Electricity consumption data","1. User inputs electricity consumption data into the application.
2. Application processes the input data.
3. Application calculates CO2 emissions based on the provided data.","Application displays estimated CO2 emissions related to electricity consumption."
"TC-General-002","Estimate CO2 emissions based on vehicle travel","General","4","User has provided vehicle travel data","Vehicle travel data","1. User inputs vehicle travel data into the application.
2. Application processes the input data.
3. Application calculates CO2 emissions based on the provided data.","Application displays estimated CO2 emissions related to vehicle travel."
"TC-General-003","Estimate CO2 emissions based on air travel","General","4","User has provided air travel data","Air travel data","1. User inputs air travel data into the application.
2. Application processes the input data.
3. Application calculates CO2 emissions based on the provided data.","Application displays estimated CO2 emissions related to air travel."
"TC-General-004","Estimate CO2 emissions based on delivery of goods","General","4","User has provided delivery of goods data","Delivery of goods data","1. User inputs delivery of goods data into the application.
2. Application processes the input data.
3. Application calculates CO2 emissions based on the provided data.","Application displays estimated CO2 emissions related to delivery of goods."
"TC-General-005","Estimate CO2 emissions based on fuel consumption","General","4","User has provided fuel consumption data","Fuel consumption data","1. User inputs fuel consumption data into the application.
2. Application processes the input data.
3. Application calculates CO2 emissions based on the provided data.","Application displays estimated CO2 emissions related to fuel consumption."
"TC-General-006","Display estimated CO2 emissions","General","4","User has provided relevant data for CO2 emission estimation","Relevant data for CO2 emission estimation","1. User provides relevant data for CO2 emission estimation.
2. Application processes the input data.
3. Application calculates CO2 emissions based on the provided data.
4. Application displays the estimated CO2 emissions.","Application correctly displays the estimated CO2 emissions based on the provided data."
"TC-General-007","Calculate CO2 emissions","General","4","User has provided relevant data for CO2 emission estimation","Relevant data for CO2 emission estimation","1. User provides relevant data for CO2 emission estimation.
2. Application processes the input data.
3. Application calculates CO2 emissions based on the provided data.","Application correctly calculates the CO2 emissions based on the provided data."
"TC-General-008","Process user input data","General","4","User has provided relevant data for CO2 emission estimation","Relevant data for CO2 emission estimation","1. User provides relevant data for CO2 emission estimation.
2. Application processes the input data.","Application successfully processes the input data without errors."
"TC-General-009","Provide data input fields for CO2 emission estimation","General","4","None","None","1. User navigates to the CO2 emission estimation section of the application.
2. Application displays input fields for relevant data.","Application displays appropriate input fields for CO2 emission estimation."
"TC-General-010","Display CO2 emission estimation results","General","4","User has provided relevant data for CO2 emission estimation","Relevant data for CO2 emission estimation","1. User provides relevant data for CO2 emission estimation.
2. Application processes the input data.
3. Application calculates CO2 emissions based on the provided data.
4. Application displays the estimated CO2 emissions.","Application correctly displays the estimated CO2 emissions based on the provided data."
"TC-General-011","Ensure compatibility with Android devices","General","4","None","None","1. User accesses the application on an Android device.
2. Application runs smoothly on the Android device.","Application functions correctly on Android devices."
"TC-General-012","Utilize Flutter and Dart for development","General","4","None","None","1. Application is developed using Flutter and Dart.
2. Application is compiled and run.","Application is successfully developed and runs using Flutter and Dart."
"TC-General-013","Ensure accurate CO2 emission calculations","General","4","User has provided relevant data for CO2 emission estimation","Relevant data for CO2 emission estimation","1. User provides relevant data for CO2 emission estimation.
2. Application processes the input data.
3. Application calculates CO2 emissions based on the provided data.","Application accurately calculates CO2 emissions based on the provided data."
"TC-General-014","Validate user input data for CO2 emission estimation","General","4","User has provided relevant data for CO2 emission estimation","Relevant data for CO2 emission estimation","1. User provides relevant data for CO2 emission estimation.
2. Application validates the input data.","Application validates the input data and ensures it is within acceptable ranges."
"TC-General-015","Handle invalid user input data gracefully","General","4","User has provided invalid data for CO2 emission estimation","Invalid data for CO2 emission estimation","1. User provides invalid data for CO2 emission estimation.
2. Application detects the invalid data.
3. Application prompts the user to correct the input.","Application handles invalid input data gracefully and prompts the user to correct it."
"TC-General-016","Provide clear error messages for invalid input data","General","4","User has provided invalid data for CO2 emission estimation","Invalid data for CO2 emission estimation","1. User provides invalid data for CO2 emission estimation.
2. Application detects the invalid data.
3. Application displays a clear error message.","Application displays a clear and informative error message for invalid input data."
"TC-General-017","Ensure consistent CO2 emission calculation across different scenarios","General","4","User has provided various sets of relevant data for CO2 emission estimation","Various sets of relevant data for CO2 emission estimation","1. User provides various sets of relevant data for CO2 emission estimation.
2. Application processes each set of input data.
3. Application calculates CO2 emissions based on each set of provided data.","Application consistently calculates CO2 emissions across different scenarios based on the provided data."
"TC-General-018","Ensure accurate CO2 emission calculations for multiple users","General","4","Multiple users have provided relevant data for CO2 emission estimation","Relevant data for CO2 emission estimation from multiple users","1. Multiple users provide relevant data for CO2 emission estimation.
2. Application processes the input data from each user.
3. Application calculates CO2 emissions based on the provided data from each user.","Application accurately calculates CO2 emissions for each user based on the provided data."
"TC-General-019","Ensure accurate CO2 emission calculations for different types of vehicles","General","4","User has provided vehicle travel data for different types of vehicles","Vehicle travel data for different types of vehicles","1. User provides vehicle travel data for different types of vehicles.
2. Application processes the input data.
3. Application calculates CO2 emissions based on the provided data.","Application accurately calculates CO2 emissions for different types of vehicles based on the provided data."
"TC-General-020","Ensure accurate CO2 emission calculations for different modes of transportation","General","4","User has provided data for different modes of transportation","Data for different modes of transportation","1. User provides data for different modes of transportation.
2. Application processes the input data.
3. Application calculates CO2 emissions based on the provided data.","Application accurately calculates CO2 emissions for different modes of transportation based on the provided data."
"TC-General-021","Ensure accurate CO2 emission calculations for different types of goods delivery","General","4","User has provided delivery of goods data for different types of goods","Delivery of goods data for different types of goods","1. User provides delivery of goods data for different types of goods.
2. Application processes the input data.
3. Application calculates CO2 emissions based on the provided data.","Application accurately calculates CO2 emissions for different types of goods delivery based on the provided data."
"TC-General-022","Ensure accurate CO2 emission calculations for different types of fuel consumption","General","4","User has provided fuel consumption data for different types of fuels","Fuel consumption data for different types of fuels","1. User provides fuel consumption data for different types of fuels.
2. Application processes the input data.
3. Application calculates CO2 emissions based on the provided data.","Application accurately calculates CO2 emissions for different types of fuel consumption based on the provided data."
"TC-General-023","Ensure accurate CO2 emission calculations for different types of electricity consumption","General","4","User has provided electricity consumption data for different types of electricity sources","Electricity consumption data for different types of electricity sources","1. User provides electricity consumption data for different types of electricity sources.
2. Application processes the input data.
3. Application calculates CO2 emissions based on the provided data.","Application accurately calculates CO2 emissions for different types of electricity consumption based on the provided data."
"TC-Settings-024","User can modify default units of measurement","Settings","8","User is on the settings screen","None","1. User accesses the settings screen.
2. User selects the units of measurement section.
3. User modifies units of measurement for electricity, distance, mass, carbon dioxide, and various types of fuel.","Any modifications made by the user take effect immediately after the change is made."
"TC-InformationScreen-025","User can access information about application features","Information Screen","8","User is on the home screen of the application","None","1. User presses the button to access the information screen from anywhere within the application.
2. User selects a feature to inspect from the list of available features.","A list of features offered by the application is displayed."
"TC-FeatureDetails-026","User can view detailed information about selected feature","Feature Details","9","User is on the information screen","None","1. User selects a specific feature from the information screen.
2. User views the information related to the selected feature, including explanations of fields to be filled out.","Information about the selected feature is displayed on the screen."
"TC-HomeScreen-027","User can access main application screen","Home Screen","9, 10","Application is installed on the user's smartphone","None","1. User launches the application from their smartphone.
2. User navigates to the home screen.
3. User moves freely between all features offered by the application.","The home screen of the application is displayed."
"TC-ElectricityEmissions-028","User can estimate carbon emissions for electricity consumption","Electricity Emissions","10","User is on the estimates screen","Consumption, Country","1. User selects the electricity emissions estimation option from the main screen.
2. User enters the required details: consumption and country.","The estimated carbon emissions are displayed on the screen."
"TC-AirplaneEmissions-029","User can estimate carbon emissions for air travel","Airplane Emissions","10, 11","User is on the estimates screen","Origin Airport, Destination Airport, Number of Passengers, Cabin Class","1. User selects the airplane emissions estimation option from the main screen.
2. User enters the required details: origin airport, destination airport, number of passengers, and cabin class.","The estimated carbon emissions are displayed on the screen."
"TC-CargoEmissions-030","User can estimate carbon emissions for cargo delivery","Cargo Emissions","11","User is on the estimates screen","Weight, Distance, Mode of Transport","1. User selects the cargo emissions estimation option from the main screen.
2. User enters the required details: weight, distance, and mode of transport.","The estimated carbon emissions are displayed on the screen."
"TC-VehicleEmissions-031","User can estimate carbon emissions for vehicle trips","Vehicle Emissions","11, 12","User is on the estimates screen","Distance, Vehicle Brand, Vehicle Model","1. User selects the vehicle emissions estimation option from the main screen.
2. User enters the required details: distance, vehicle brand, and vehicle model.","The estimated carbon emissions are displayed on the screen."
"TC-FuelCombustionEmissi-032","User can estimate carbon emissions for fuel combustion","Fuel Combustion Emissions","12","User is on the estimates screen","Fuel Type, Quantity","1. User selects the fuel combustion emissions estimation option from the main screen.
2. User enters the required details: fuel type and quantity.","The estimated carbon emissions are displayed on the screen."
