"Test Case ID","Title","Module","Source UML Pages","Preconditions","Test Data","Test Steps","Expected Result"
"TC-SignUp-001","Sign Up Process","SignUp","1","User does not have an account.","Valid email, password, and other required fields.","1. Navigate to the sign-up page.
2. Enter valid credentials and submit the form.
3. Verify the account creation success message.","User account is created successfully, and the system redirects to the login page."
"TC-SignUp-002","Sign Up with Existing Email","SignUp","1","User already has an account.","Email of an existing user.","1. Navigate to the sign-up page.
2. Enter an email that already exists and submit the form.
3. Verify the error message indicating the email is already registered.","Account creation fails, and an appropriate error message is displayed."
"TC-Login-001","Successful Login","Login","1","User has an active account.","Valid email and password.","1. Navigate to the login page.
2. Enter valid credentials and submit the form.
3. Verify successful login and redirection to the dashboard.","User is logged in successfully and redirected to the dashboard."
"TC-Login-002","Invalid Credentials","Login","1","User has an active account.","Incorrect email and password combination.","1. Navigate to the login page.
2. Enter incorrect credentials and submit the form.
3. Verify the error message indicating invalid credentials.","Login fails, and an appropriate error message is displayed."
"TC-GeoLocalization-001","Geo Localization Success","GeoLocalization","1","User is logged in.","User's location coordinates.","1. Log in as a user.
2. Trigger the geolocation function.
3. Verify the user's location is correctly identified.","User's location is accurately determined and displayed."
"TC-GeoLocalization-002","Geo Localization Failure","GeoLocalization","1","User is logged in.","Invalid location coordinates.","1. Log in as a user.
2. Provide invalid location coordinates.
3. Verify the system handles the failure gracefully.","An error message is displayed, and the system prompts for valid location data."
"TC-AnnouncementCreation-001","Announcement Creation Success","AnnouncementCreation","1, 4","User is logged in.","Valid announcement details.","1. Log in as a user.
2. Navigate to the announcement creation page.
3. Fill in all required fields and submit the form.
4. Verify the announcement is created successfully.","Announcement is created and displayed in the user's list."
"TC-AnnouncementCreation-002","Announcement Creation with Missing Fields","AnnouncementCreation","1, 4","User is logged in.","Partially filled announcement details.","1. Log in as a user.
2. Navigate to the announcement creation page.
3. Leave one or more required fields empty and submit the form.
4. Verify the system displays validation errors.","Announcement creation fails, and appropriate validation errors are shown."
"TC-AnnouncementFiltering-001","Announcement Filtering Success","AnnouncementFiltering","1, 5","User is logged in and has announcements.","Valid filter criteria.","1. Log in as a user.
2. Apply valid filter criteria to the announcement list.
3. Verify the filtered results match the applied criteria.","Announcements are filtered correctly according to the provided criteria."
"TC-AnnouncementFiltering-002","Announcement Filtering with Invalid Criteria","AnnouncementFiltering","1, 5","User is logged in and has announcements.","Invalid filter criteria.","1. Log in as a user.
2. Apply invalid filter criteria to the announcement list.
3. Verify the system handles the invalid criteria gracefully.","An error message is displayed, and the system prompts for valid filter criteria."
"TC-AnnouncementAcceptance-001","Announcement Acceptance Success","AnnouncementAcceptance","1, 5","User is logged in and has announcements.","Valid announcement to accept.","1. Log in as a user.
2. Select an announcement to accept.
3. Confirm the acceptance action.
4. Verify the announcement status changes to accepted.","Announcement is accepted successfully, and its status is updated accordingly."
"TC-AnnouncementAcceptance-002","Announcement Acceptance with Invalid Selection","AnnouncementAcceptance","1, 5","User is logged in and has announcements.","Invalid announcement to accept.","1. Log in as a user.
2. Attempt to accept an invalid announcement.
3. Verify the system handles the invalid selection gracefully.","An error message is displayed, and the system prompts for a valid announcement selection."
"TC-AnnouncementVisualization-001","Announcement Visualization Success","AnnouncementVisualization","1, 5","User is logged in and has announcements.","Valid announcement to view.","1. Log in as a user.
2. Select an announcement to view.
3. Verify the announcement details are displayed correctly.","Announcement details are displayed accurately."
"TC-AnnouncementVisualization-002","Announcement Visualization with Invalid Selection","AnnouncementVisualization","1, 5","User is logged in and has announcements.","Invalid announcement to view.","1. Log in as a user.
2. Attempt to view an invalid announcement.
3. Verify the system handles the invalid selection gracefully.","An error message is displayed, and the system prompts for a valid announcement selection."
"TC-AnnouncementModification-001","Announcement Modification Success","AnnouncementModification","1, 5","User is logged in and has announcements.","Valid modifications to an announcement.","1. Log in as a user.
2. Select an announcement to modify.
3. Update the announcement details and save the changes.
4. Verify the announcement is modified successfully.","Announcement is updated with the new details."
"TC-AnnouncementModification-002","Announcement Modification with Invalid Data","AnnouncementModification","1, 5","User is logged in and has announcements.","Invalid modifications to an announcement.","1. Log in as a user.
2. Attempt to modify an announcement with invalid data.
3. Verify the system displays validation errors.","Announcement modification fails, and appropriate validation errors are shown."
"TC-AnnouncementDeletion-001","Announcement Deletion Success","AnnouncementDeletion","1, 5","User is logged in and has announcements.","Valid announcement to delete.","1. Log in as a user.
2. Select an announcement to delete.
3. Confirm the deletion action.
4. Verify the announcement is deleted successfully.","Announcement is deleted, and it is no longer visible in the list."
"TC-AnnouncementDeletion-002","Announcement Deletion with Invalid Selection","AnnouncementDeletion","1, 5","User is logged in and has announcements.","Invalid announcement to delete.","1. Log in as a user.
2. Attempt to delete an invalid announcement.
3. Verify the system handles the invalid selection gracefully.","An error message is displayed, and the system prompts for a valid announcement selection."
