item_type,item_text,rank,matched_testcase_id,similarity_score,matched_testcase_text
flow,"gestoresegnalazioni — association — label=""— usa —""; explanation=""uses segnalazione""",1,TC-Notification-011,0.7237731218338013,test case id: tc-notification-011 title: show notifications with empty train variations module: notification source pages: preconditions: test data: test steps: expected result:
flow,"gestoresegnalazioni — association — label=""— usa —""; explanation=""uses segnalazione""",2,TC-CalendarManagement-001,0.6675926446914673,"test case id: tc-calendarmanagement-001 title: set and display calendar module: calendar management source pages: 5, 6 preconditions: calendar data is available. test data: - calendar data: {id: 1, date: ""2023-10-01"", events: [""event1"", ""event2""]} test steps: 1. application sends calendar data to the calendar management system. 2. calendar management system forwards the calendar data to the data management system. 3. data management system queries the database for the new calendar data. 4. database returns the status code indicating success. 5. data management system forwards the outcome to the calendar management system. 6. calendar management system forwards the outcome to the application. 7. application displays the calendar data. expected result: application displays the calendar data sent by the user."
flow,"gestoresegnalazioni — association — label=""— usa —""; explanation=""uses segnalazione""",3,TC-TrainListManagement-001,0.6621106863021851,test case id: tc-trainlistmanagement-001 title: get and display train list module: train list management source pages: 8 preconditions: train list is available. test data: - no specific input required. test steps: 1. application requests train list from the calendar management system. 2. calendar management system forwards the request to the data management system. 3. data management system queries the trenitalia api for the train list. 4. trenitalia api returns the payload containing the train list. 5. data management system forwards the payload to the calendar management system. 6. calendar management system forwards the payload to the application. 7. application displays the train list. expected result: application displays the train list retrieved from the trenitalia api.
flow,"gestoresegnalazioni — association — label=""— usa —""; explanation=""uses segnalazione""",4,TC-TrainListManagement-002,0.6325263381004333,test case id: tc-trainlistmanagement-002 title: display null train list module: train list management source pages: 8 preconditions: no train list is available. test data: - no specific input required. test steps: 1. application requests train list from the calendar management system. 2. calendar management system forwards the request to the data management system. 3. data management system queries the trenitalia api for the train list. 4. trenitalia api returns null as there is no train list. 5. data management system forwards null to the calendar management system. 6. calendar management system forwards null to the application. 7. application displays null. expected result: application displays null as there is no train list.
flow,"gestoresegnalazioni — association — label=""— usa —""; explanation=""uses segnalazione""",5,TC-Authentication-001,0.627643346786499,test case id: tc-authentication-001 title: user logs in successfully module: authentication source pages: 2 preconditions: user has registered an account. test data: - email: test@example.com - password: testpassword test steps: 1. user initiates login request to the application. 2. application forwards the request to the user management system. 3. user management system checks if the user is logged in. 4. user management system requests firebase authentication api to get the current user. 5. firebase authentication api returns the current user. 6. user management system confirms the user is logged in and forwards the user object to the application. 7. application displays the user's profile. expected result: user is successfully logged in and redirected to their profile.
flow,"gestoresegnalazioni — association — label=""— usa —""; explanation=""uses segnalazione""",6,TC-Notification-002,0.6269914507865906,test case id: tc-notification-002 title: show notifications module: notification source pages: 9 preconditions: train variations are available. test data: - no specific input required. test steps: 1. variation management system starts the notification process. 2. notification system shows notifications to the application. 3. application displays the notifications. expected result: application displays the notifications related to train variations.
flow,"gestoresegnalazioni — association — label=""— usa —""; explanation=""uses segnalazione""",7,TC-Notification-001,0.6269081234931946,test case id: tc-notification-001 title: start notification process module: notification source pages: 9 preconditions: train variations are available. test data: - no specific input required. test steps: 1. application requests train variations from the variation management system. 2. variation management system forwards the request to the data management system. 3. data management system queries the trenitalia api for train variations. 4. trenitalia api returns the payload containing the train variations. 5. variation management system starts the notification process. 6. notification system shows notifications to the application. 7. application displays the notifications. expected result: application displays the notifications related to train variations.
flow,"gestoresegnalazioni — association — label=""— usa —""; explanation=""uses segnalazione""",8,TC-Authentication-003,0.626332700252533,test case id: tc-authentication-003 title: user registers and logs in successfully module: authentication source pages: 2 preconditions: user has not registered an account. test data: - email: newuser@example.com - password: newpassword test steps: 1. user initiates registration and login request to the application. 2. application forwards the request to the user management system. 3. user management system requests firebase authentication api to create a new user. 4. firebase authentication api creates a new user. 5. user management system confirms the user is logged in and forwards the user object to the application. 6. application displays the user's profile. expected result: user is successfully registered and logged in.
flow,"gestoresegnalazioni — association — label=""— usa —""; explanation=""uses segnalazione""",9,TC-Authentication-002,0.6190187931060791,test case id: tc-authentication-002 title: user logs in unsuccessfully due to incorrect password module: authentication source pages: 2 preconditions: user has registered an account. test data: - email: test@example.com - password: wrongpassword test steps: 1. user initiates login request to the application. 2. application forwards the request to the user management system. 3. user management system checks if the user is logged in. 4. user management system requests firebase authentication api to get the current user. 5. firebase authentication api returns null as the user does not exist. 6. user management system confirms the user is not logged in and prompts the user to try again. 7. application displays an error message. expected result: user is prompted to try logging in again due to incorrect password.
flow,"gestoresegnalazioni — association — label=""— usa —""; explanation=""uses segnalazione""",10,TC-Notification-003,0.6103847622871399,test case id: tc-notification-003 title: show null notifications module: notification source pages: 9 preconditions: no train variations are available. test data: - no specific input required. test steps: 1. variation management system starts the notification process. 2. notification system shows notifications to the application. 3. application displays null. expected result: application displays null as there are no notifications.
flow,"gestoresegnalazioni — association — label=""— usa —""; explanation=""uses segnalazione""",11,TC-TrainListManagement-003,0.6096888780593872,test case id: tc-trainlistmanagement-003 title: delete preferred train module: train list management source pages: 8 preconditions: a preferred train is set. test data: - train id: 123 test steps: 1. application requests to delete a preferred train. 2. calendar management system forwards the request to the data management system. 3. data management system queries the database to delete the train. 4. database returns the status code indicating success. 5. data management system forwards the outcome to the calendar management system. 6. calendar management system forwards the outcome to the application. 7. application displays the outcome. expected result: application displays the outcome of the train deletion.
flow,"gestoresegnalazioni — association — label=""— usa —""; explanation=""uses segnalazione""",12,TC-SignalManagement-001,0.6093674898147583,test case id: tc-signalmanagement-001 title: retrieve and display signals module: signal management source pages: 3 preconditions: signals are stored in the database. test data: - no specific input required. test steps: 1. application requests signals from the signal management system. 2. signal management system forwards the request to the data management system. 3. data management system queries the database for signals. 4. database returns the payload containing the signals. 5. data management system forwards the payload to the signal management system. 6. signal management system forwards the payload to the application. 7. application displays the list of signals. expected result: application displays the list of signals retrieved from the database.
flow,"gestoresegnalazioni — association — label=""— usa —""; explanation=""uses segnalazione""",13,TC-VariationManagement-001,0.6030575037002563,"test case id: tc-variationmanagement-001 title: retrieve train variations module: variation management source pages: 6, 7 preconditions: train variations are stored in the database. test data: - no specific input required. test steps: 1. application requests train variations from the variation management system. 2. variation management system forwards the request to the data management system. 3. data management system queries the trenitalia api for train variations. 4. trenitalia api returns the payload containing the train variations. 5. data management system forwards the payload to the variation management system. 6. variation management system forwards the payload to the application. 7. application displays the list of train variations. expected result: application displays the list of train variations retrieved from the trenitalia api."
flow,"gestoresegnalazioni — association — label=""— usa —""; explanation=""uses segnalazione""",14,TC-CalendarManagement-002,0.6021409034729004,"test case id: tc-calendarmanagement-002 title: display null calendar module: calendar management source pages: 5, 6 preconditions: no calendar data is available. test data: - no specific input required. test steps: 1. application requests calendar data from the calendar management system. 2. calendar management system forwards the request to the data management system. 3. data management system queries the database for the calendar data. 4. database returns null as there is no calendar data. 5. data management system forwards null to the calendar management system. 6. calendar management system forwards null to the application. 7. application displays null. expected result: application displays null as there is no calendar data."
flow,"gestoresegnalazioni — association — label=""— usa —""; explanation=""uses segnalazione""",15,TC-Notification-007,0.6005755662918091,test case id: tc-notification-007 title: show notifications with null payload module: notification source pages: 9 preconditions: train variations are null. test data: - no specific input required. test steps: 1. variation management system starts the notification process. 2. notification system shows notifications to the application. 3. application displays null. expected result: application displays null as there is no payload.
flow,"gestoresegnalazioni — association — label=""— usa —""; explanation=""uses segnalazione""",16,TC-VariationManagement-002,0.5978211164474487,"test case id: tc-variationmanagement-002 title: retrieve and display null train variations module: variation management source pages: 6, 7 preconditions: no train variations are stored in the database. test data: - no specific input required. test steps: 1. application requests train variations from the variation management system. 2. variation management system forwards the request to the data management system. 3. data management system queries the trenitalia api for train variations. 4. trenitalia api returns null as there are no train variations. 5. data management system forwards null to the variation management system. 6. variation management system forwards null to the application. 7. application displays null. expected result: application displays null as there are no train variations."
flow,"gestoresegnalazioni — association — label=""— usa —""; explanation=""uses segnalazione""",17,TC-Notification-008,0.5958425998687744,test case id: tc-notification-008 title: show notifications with empty payload module: notification source pages: 9 preconditions: train variations are empty. test data: - no specific input required. test steps: 1. variation management system starts the notification process. 2. notification system shows notifications to the application. 3. application displays null. expected result: application displays null as there is no payload.
flow,"gestoresegnalazioni — association — label=""— usa —""; explanation=""uses segnalazione""",18,TC-Notification-009,0.5956284403800964,test case id: tc-notification-009 title: show notifications with invalid payload module: notification source pages: 9 preconditions: train variations are invalid. test data: - no specific input required. test steps: 1. variation management system starts the notification process. 2. notification system shows notifications to the application. 3. application displays null. expected result: application displays null as there is no valid payload.
