"Test Case ID","Title","Module","Source Pages","Preconditions","Test Data","Test Steps","Expected Result"
"TC-AppAvailability-001","Verify the app is available on both IOS and Android platforms.","App Availability","1","User has access to a smartphone.","None","1. Open the app store on the smartphone.
2. Search for the NeighborGood app.
3. Check if the app is available for download on both IOS and Android platforms.","The app is available for download on both IOS and Android platforms."
"TC-AppointmentSchedulin-002","Verify the scheduling of appointments and reservations for local businesses.","Appointment Scheduling","5","User has created an account and is logged in.","A local business with available appointments.","1. Navigate to the local business page.
2. Check if the available appointments are displayed.
3. Select an available appointment.
4. Confirm the appointment.","The appointment is successfully scheduled."
"TC-GoodsDonationPurchas-003","Verify the donation or buying of goods at discounted prices.","Goods Donation/Purchase","5","User has created an account and is logged in.","A discounted good available for donation or purchase.","1. Navigate to the goods page.
2. Check if the discounted good is displayed.
3. Select the discounted good.
4. Choose to donate or purchase the good.","The good is successfully donated or purchased."
"TC-ToolSharing-004","Verify the sharing of tools with the community.","Tool Sharing","5","User has created an account and is logged in.","A tool available for sharing.","1. Navigate to the tools page.
2. Check if the tool is displayed.
3. Select the tool for sharing.
4. Confirm the sharing of the tool.","The tool is successfully shared with the community."
"TC-BuyingGroupManagemen-005","Verify the creation and management of buying groups to avoid intermediaries.","Buying Group Management","5","User has created an account and is logged in.","A buying group to be created.","1. Navigate to the buying groups page.
2. Check if the option to create a new buying group is available.
3. Fill in the necessary information to create the buying group.
4. Confirm the creation of the buying group.","The buying group is successfully created."
"TC-CommunityInteraction-006","Verify the strengthening of a sense of civic duty and belonging to the community.","Community Interaction","5","User has created an account and is logged in.","None","1. Navigate to the community page.
2. Check if there are opportunities for interaction with other community members.
3. Participate in a community interaction.","The user feels a stronger sense of civic duty and belonging to the community."
"TC-VulnerableGroupInter-007","Verify the provision of opportunities for vulnerable groups to interact with other community members and to address social issues.","Vulnerable Group Interaction","5","User has created an account and is logged in.","A vulnerable group member.","1. Navigate to the vulnerable group page.
2. Check if there are opportunities for interaction with other community members.
3. Participate in an interaction with a vulnerable group member.","The vulnerable group member feels more included in the community and social issues are addressed."
"TC-ApplicationDevelopme-008","Verify the functionality of the Flutter framework","Application Development","7,8","The development environment is set up correctly.","None","1. Open the project in the specified IDE (Android Studio or XCode)
2. Check if the Flutter framework is properly integrated
3. Build and run the application on an Android device
4. Build and run the application on an iOS device","The application should run successfully on both Android and iOS devices."
"TC-ApplicationDevelopme-009","Verify the real-time data update functionality","Application Development","10","The application is running on both Android and iOS devices.","Sample data to be updated in real-time.","1. Start the application on both Android and iOS devices
2. Update the data on one device
3. Observe the data update on the other device","The data should update in real-time on both devices."
"TC-ApplicationDevelopme-010","Verify the geolocation functionality","Application Development","10","The application is running on both Android and iOS devices.","None","1. Start the application on both Android and iOS devices
2. Enable geolocation on both devices
3. Observe the geolocation data on both devices","The geolocation data should be accurate and updated on both devices."
"TC-ApplicationDevelopme-011","Verify the language accessibility","Application Development","10","The application is running on both Android and iOS devices.","Sample data in multiple languages.","1. Start the application on both Android and iOS devices
2. Change the language settings on both devices
3. Observe the language change on the application interface","The application should be accessible and understandable in multiple languages."
