Test Case ID,Title,Module,Source UML Pages,Preconditions,Test Data,Test Steps,Expected Result
TC-Environment-001,User Registration,Environment,1,None,"- Username: testuser
- Password: TestPassword123
- Email: testuser@example.com","1. Navigate to the registration page.
2. Enter the username, password, and email in the respective fields.
3. Click on the ""Register"" button.
4. Verify if the user is registered successfully.",The user should be registered successfully and redirected to the login page.
TC-Environment-002,Invalid User Registration,Environment,1,None,"- Username: testuser
- Password: TestPassword
- Email: invalidemail","1. Navigate to the registration page.
2. Enter the username, password, and email in the respective fields.
3. Click on the ""Register"" button.
4. Verify if the registration fails due to invalid email format.",The registration should fail and display an error message indicating an invalid email format.
TC-Environment-003,User Login,Environment,1,User has been registered.,"- Username: testuser
- Password: TestPassword123","1. Navigate to the login page.
2. Enter the username and password in the respective fields.
3. Click on the ""Login"" button.
4. Verify if the user is logged in successfully.",The user should be logged in successfully and redirected to the dashboard.
TC-Environment-004,Invalid User Login,Environment,1,User has been registered.,"- Username: testuser
- Password: WrongPassword","1. Navigate to the login page.
2. Enter the username and wrong password in the respective fields.
3. Click on the ""Login"" button.
4. Verify if the login fails due to incorrect password.",The login should fail and display an error message indicating incorrect credentials.
TC-Environment-005,Event Creation,Environment,1,User is logged in.,"- Event Name: TestEvent
- Date: 2023-10-10
- Time: 14:00
- Location: TestLocation","1. Navigate to the event creation page.
2. Enter the event name, date, time, and location in the respective fields.
3. Click on the ""Create Event"" button.
4. Verify if the event is created successfully.",The event should be created successfully and displayed in the list of events.
TC-Environment-006,Invalid Event Creation,Environment,1,User is logged in.,"- Event Name: TestEvent
- Date: 2023-10-10
- Time: 14:00
- Location: TestLocation
- Missing Date","1. Navigate to the event creation page.
2. Enter the event name, time, and location in the respective fields.
3. Click on the ""Create Event"" button.
4. Verify if the event creation fails due to missing date.",The event creation should fail and display an error message indicating a required field is missing.
TC-Environment-007,Joining an Event,Environment,1,User is logged in and an event exists.,- Event ID: 12345,"1. Navigate to the event details page.
2. Click on the ""Join Event"" button.
3. Verify if the user is added to the event attendees list.",The user should be added to the event attendees list and a confirmation message should be displayed.
TC-Environment-008,Viewing an Event,Environment,1,User is logged in and an event exists.,- Event ID: 12345,"1. Navigate to the event details page.
2. Verify if the event details are displayed correctly.","The event details should be displayed correctly including the name, date, time, and location."
TC-Environment-009,User Profile Management,Environment,1,User is logged in.,"- New Username: NewTestUser
- New Password: NewTestPassword123
- New Email: newtestuser@example.com","1. Navigate to the user profile page.
2. Update the username, password, and email in the respective fields.
3. Click on the ""Save Changes"" button.
4. Verify if the profile information is updated successfully.",The user profile information should be updated successfully and the changes should be reflected in the user's account.
TC-Environment-010,Invalid Profile Update,Environment,1,User is logged in.,"- New Username: NewTestUser
- New Password: ShortPass
- New Email: invalidemail","1. Navigate to the user profile page.
2. Update the username, password, and email in the respective fields.
3. Click on the ""Save Changes"" button.
4. Verify if the profile update fails due to invalid email format and short password.",The profile update should fail and display error messages indicating an invalid email format and a requirement for a longer password.
TC-Environment-011,Notification Center,Environment,1,User is logged in.,,"1. Navigate to the notification center.
2. Verify if notifications are displayed.",Notifications should be displayed based on the user's activity and system events.
