"Test Case ID","Title","Module","Source Pages","Preconditions","Test Data","Test Steps","Expected Result"
"TC-UserRegistration-001","User Registration","User Registration","1,2,3,4,5,6","User is not registered.","Name: John Doe, Email: john.doe@example.com, Password: password123","1. Navigate to the registration page.
2. Enter the name, email, and password.
3. Click the ""Register"" button.","The user is registered and can log in with the provided email and password."
"TC-UserLogin-002","User Login","User Login","1,2,3,4,5,6","User is registered.","Email: john.doe@example.com, Password: password123","1. Navigate to the login page.
2. Enter the email and password.
3. Click the ""Login"" button.","The user is logged in and can access the application."
"TC-FoodItems-003","Add Food Item","Food Items","1,2,3,4,5,6","User is logged in.","Food Item: Pizza, Quantity: 1, Calories: 250","1. Navigate to the food items page.
2. Click the ""Add Food Item"" button.
3. Enter the food item name, quantity, and calories.
4. Click the ""Add"" button.","The food item is added to the user's list of food items."
"TC-FoodItems-004","Edit Food Item","Food Items","1,2,3,4,5,6","User is logged in and has added food items.","New Quantity: 2, New Calories: 500","1. Navigate to the food items page.
2. Select a food item to edit.
3. Click the ""Edit"" button.
4. Enter the new quantity and calories.
5. Click the ""Save"" button.","The food item is updated with the new quantity and calories."
"TC-Settings-005","Set Daily Calorie Goal","Settings","1,2,3,4,5,6","User is logged in.","Daily Calorie Goal: 2000","1. Navigate to the settings page.
2. Enter the daily calorie goal.
3. Click the ""Save"" button.","The daily calorie goal is set for the user."
"TC-Login-006","Login with email and password","Login","7,8,9","The user has registered previously","A valid email address
A valid password","1. Open the application
2. Click the ""Login"" button
3. Enter the email address in the provided field
4. Enter the password in the provided field
5. Click the ""Login"" button","The user is logged in and can access the application"
"TC-Login-007","Login with Google","Login","7,8,9","The user has created a Google account","A Google account","1. Open the application
2. Click the ""Login with Google"" button
3. Grant the application access to the Google account","The user is logged in and can access the application"
"TC-Registration-008","User registration","Registration","7,8,9","The user has access to the internet
The user has a valid email address","A valid email address
A password
Personal data (name, surname, etc.)","1. Open the application
2. Click the ""Register"" button
3. Enter the email address in the provided field
4. Enter the password in the provided field
5. Enter the personal data in the provided fields
6. Click the ""Register"" button","The user's data is registered in the database"
"TC-Search-009","Search for a product","Search","13,14,15,16,17,18","User has logged in","Product name or code","1. Click on the search bar
2. Enter the product name or code
3. Click on the search button","The system displays a list of products that match the search criteria"
"TC-Product-010","Modify a product","Product","13","User has at least one product in the refrigerator","New product details (name, price, expiration date, etc.)","1. Click on the product to be modified
2. Click on the ""Modify"" button
3. Enter the new product details
4. Click on the ""Save"" button","The product details in the database are updated with the new information"
"TC-Sell-011","Sell a product","Sell","13,14","User has at least one product in the refrigerator","None","1. Click on the product to be sold
2. Click on the ""Sell"" button","The product is added to the list of products available for purchase"
"TC-Add-012","Add a new product","Add","14","User has a product with a valid code and expiration date","Product details (name, price, expiration date, etc.)","1. Click on the ""Add Product"" button
2. Enter the product details
3. Click on the ""Save"" button","The product is added to the database and appears in the user's refrigerator"
"TC-Remove-013","Remove a product","Remove","14","User has at least one product in the refrigerator","None","1. Click on the product to be removed
2. Click on the ""Remove"" button
3. Confirm the removal","The product is removed from the database and no longer appears in the user's refrigerator"
"TC-Messages-014","View messages","Messages","15,16,17,18","User has logged in","None","1. Click on the ""Messages"" icon","The system displays the list of chats the user has had with other users"
"TC-Messages-015","Search for a user in messages","Messages","15,16,17,18","User has logged in","Username of the person to search for","1. Enter the username in the search bar
2. Click on the search button","The system displays the chat history with the searched user, if it exists"
"TC-Profile-016","View another user's profile","Profile","16,17","User has searched for another user in the messages","None","1. Click on the searched user's name in the chat list","The system displays the other user's profile"
"TC-Message-017","Send a message","Message","16,17","User has searched for another user in the messages","Message content","1. Click on the chat with the searched user
2. Enter the message content
3. Click on the ""Send"" button","The message is sent and appears in the chat history"
"TC-Profile-018","Edit user profile","Profile","17","User has logged in","New profile details (name, email, password, etc.)","1. Click on the ""Profile"" icon
2. Edit the profile details
3. Click on the ""Save"" button","The user's profile is updated with the new information"
"TC-UserAuthentication-019","Login","User Authentication","19","None","User credentials","1. Navigate to the login page
2. Enter the user credentials
3. Click the login button","User is successfully logged in"
"TC-UserAuthentication-020","Logout","User Authentication","19","User is logged in","None","1. Click the logout button","User is successfully logged out and redirected to the login page"
"TC-Search-021","Search Functionality","Search","20","User is logged in","Product name or description","1. Enter the product name or description in the search bar
2. Click the search button","A list of products matching the search query is displayed"
"TC-Product-022","View Product Details","Product","21","User is logged in and a product is found in the search results","None","1. Click on a product from the search results","Product details are displayed"
"TC-Product-023","Request Product","Product","21","User is logged in and a product is found in the search results","None","1. Click on the request button for the product","A chat is opened with the seller offering the product"
"TC-Chat-024","Chat with Seller","Chat","22, 23","User is logged in, a product is found in the search results, and a chat is opened with the seller","None","1. Send a message to the seller","The seller responds to the message"
"TC-UserProfile-025","View Seller Profile","User Profile","22, 23","User is logged in, a product is found in the search results, and a chat is opened with the seller","None","1. Click on the seller's profile picture","The seller's profile is displayed"
"TC-Tokens-026","Purchase Tokens","Tokens","24","User is logged in and has a valid payment method","Amount of tokens to purchase","1. Navigate to the tokens page
2. Enter the amount of tokens to purchase
3. Click the purchase button","The tokens are successfully purchased and added to the user's account"
"TC-AddProduct-027","Add a New Product","Add Product","24","User is logged in and not on the settings page","Product details","1. Click the add button","A form for adding a new product is displayed
These test cases are based on the explicit requirements stated in the provided PDF. Some requirements were too vague to produce valid test steps or expected results, so they were not included in the test cases."
"TC-Homepage-028","Display Recommended Products","Homepage","28","User is logged in","N/A","1. Navigate to the homepage
2. Verify that the homepage displays a list of recommended products","Recommended products are displayed"
"TC-Fridge-029","View Own Products","Fridge","29","User is logged in","N/A","1. Navigate to the fridge section
2. Verify that the user's own products are displayed","User's own products are displayed"
"TC-Fridge-030","Sell Product from Fridge","Fridge","29","User is logged in, product is in the fridge","N/A","1. Navigate to the fridge section
2. Select a product
3. Verify that the option to sell the product is available","Option to sell the product is available"
"TC-Fridge-031","Modify Product in Fridge","Fridge","29","User is logged in, product is in the fridge","N/A","1. Navigate to the fridge section
2. Select a product
3. Verify that the option to modify the product is available","Option to modify the product is available"
"TC-ProductManagement-032","Add Product (From Fridge)","Product Management","31,32","User is logged in.","Product details (name, description, price, expiration date, quantity, is_for_sale).","1. Navigate to the ""My Fridge"" screen.
2. Tap the ""Add Product"" button.
3. Enter product details.
4. Tap the ""Save"" button.","The product is added to the user's fridge inventory."
"TC-ProductManagement-033","Remove Product (From Fridge)","Product Management","31,32","User is logged in.","Product to be removed.","1. Navigate to the ""My Fridge"" screen.
2. Locate the product to be removed.
3. Tap the ""Remove"" button.
4. Confirm the removal.","The product is removed from the user's fridge inventory."
"TC-ProductManagement-034","Modify Product (From Fridge)","Product Management","31,32","User is logged in.","Updated product details.","1. Navigate to the ""My Fridge"" screen.
2. Locate the product to be modified.
3. Tap the ""Modify"" button.
4. Enter updated product details.
5. Tap the ""Save"" button.","The product is updated in the user's fridge inventory."
"TC-Communication-035","Send Message","Communication","32","User is logged in.","Recipient user, message content.","1. Navigate to the ""Messages"" screen.
2. Select a recipient user.
3. Enter the message content.
4. Tap the ""Send"" button.","The message is sent to the recipient user."
"TC-VirtualCurrency-036","Buy Token","Virtual Currency","32","User is logged in and has enough balance.","Amount of tokens to be purchased.","1. Navigate to the ""Buy Tokens"" screen.
2. Enter the amount of tokens to be purchased.
3. Tap the ""Buy"" button.","The tokens are purchased and added to the user's balance."
"TC-Database-037","Firebase Database Creation and Management","Database","37","User has access to the application","N/A","1. Access the application
2. Verify that the Firebase database is created and initialized","The Firebase database is created and initialized successfully"
"TC-Deliverables-038","Respecting Deliverable Deadlines","Deliverables","37","User has access to the application","N/A","1. Access the application
2. Verify that the application follows the defined deliverable deadlines","The application respects the deliverable deadlines"
"TC-InternetConnection-039","Stable Internet Connection","Internet Connection","38","User has access to the application and an active internet connection","N/A","1. Access the application
2. Verify that the application maintains a stable internet connection","The application maintains a stable internet connection"
"TC-UserData-040","Right to be Forgotten","User Data","39","User has access to the application and is logged in","User requests deletion of their account","1. Access the application
2. Navigate to the account settings
3. Request account deletion
4. Verify that all user data, chat history, and product listings are deleted","User data, chat history, and product listings are deleted upon account deletion"
"TC-UserData-041","GDPR Compliance","User Data","40","User has access to the application and is logged in","N/A","1. Access the application
2. Verify that the application follows the GDPR regulations","The application is compliant with the GDPR regulations"
"TC-ProductManagement-042","Adding a Product to the Fridge","Product Management","41","User has access to the application and is logged in","Product details (name, description, price, image, etc.)","1. Access the application
2. Navigate to the fridge section
3. Click the ""Add Product"" button
4. Enter product details
5. Click ""Save""","The product is added to the fridge and a success message is displayed"
"TC-ProductManagement-043","Modifying a Product","Product Management","41","User has access to the application and is logged in","Updated product details","1. Access the application
2. Navigate to the fridge section
3. Select a product
4. Click the ""Edit"" button
5. Update product details
6. Click ""Save""","The product details are updated in the database"
"TC-ProductManagement-044","Selling a Product","Product Management","41","User has access to the application and is logged in","Product details","1. Access the application
2. Navigate to the fridge section
3. Select a product
4. Click the ""Sell"" button","The product is added to the selling section of the application"
"TC-ProductManagement-045","Searching for a Product","Product Management","41","User has access to the application and is logged in","Product name or keyword","1. Access the application
2. Navigate to the selling section
3. Enter the product name or keyword in the search bar
4. Click ""Search""","The search results display the matching products in the database"
"TC-ProductManagement-046","Viewing a Product","Product Management","41","User has access to the application and is logged in","Product details","1. Access the application
2. Navigate to the selling section
3. Select a product","The product details are displayed on the screen"
"TC-ProductManagement-047","Deleting a Product","Product Management","41","User has access to the application and is logged in","Product details","1. Access the application
2. Navigate to the selling section
3. Select a product
4. Click the ""Delete"" button","The product is deleted from the selling section of the application and a success message is displayed"
"TC-ViewProducts-048","View Products","View Products","44","User is on the refrigerator page","None","1. Click on the ""Visualizza prodotti"" button","Products are displayed on the screen"
"TC-RemoveProduct-049","Remove Product","Remove Product","43","User is on the refrigerator page","Select a product to remove","1. Click on the ""Rimuovi"" button for the selected product","A visual notification is displayed indicating the product has been removed"
"TC-BuyTokens-050","Buy Tokens","Buy Tokens","44","User is on the main page","Select the number of tokens to buy and complete the payment","1. Click on the ""Token"" button
2. Select the number of tokens to buy
3. Complete the payment","The user's token balance is updated and the purchased tokens are displayed"
"TC-Notifications-051","Notifications","Notifications","44","User is on the main page","None","1. Check for notifications","Notifications are displayed if any"
"TC-AppRegulations-052","App Regulations","App Regulations","46","User is creating a new profile","None","1. Follow the instructions for creating a profile","The profile is created and the user can access the app"
