Test Case ID,Title,Module,Source UML Pages,Preconditions,Test Data,Test Steps,Expected Result
TC-UTENTE-001,User Registration,Utente,1,None,"- Valid email: test@example.com
- Valid username: testuser
- Valid password: password123","1. Navigate to the registration page
2. Enter the email, username, and password
3. Click the ""Register"" button","The user is registered successfully, and the user is redirected to the login page."
TC-UTENTE-002,User Login,Utente,1,User has been registered,"- Valid email: test@example.com
- Valid password: password123","1. Navigate to the login page
2. Enter the email and password
3. Click the ""Login"" button","The user is logged in successfully, and the homepage is displayed."
TC-EVENTI-001,Create Event,Eventi,"1, 2, 3",User is logged in,"- Valid event type: Concert
- Valid date: 2023-05-01
- Valid creator: testuser
- Valid city: Rome
- Valid description: A concert by famous band","1. Navigate to the city view page
2. Click the ""Add Event"" button
3. Enter the event details
4. Click the ""Save"" button","The event is created successfully, and it is associated with the selected city."
TC-EVENTI-002,View Event,Eventi,"1, 2, 3",Event has been created,,"1. Navigate to the city view page
2. Find the created event
3. Click the event to view its details",The event details are displayed correctly.
TC-EVENTI-003,Modify Event,Eventi,"1, 2, 3",Event has been created,"- Modified event type: Festival
- Modified date: 2023-05-02
- Modified creator: testuser
- Modified city: Milan
- Modified description: A festival by famous band","1. Navigate to the city view page
2. Find the created event
3. Click the ""Edit"" button
4. Modify the event details
5. Click the ""Save"" button","The event is modified successfully, and it is associated with the selected city."
TC-EVENTI-004,Delete Event,Eventi,"1, 2, 3",Event has been created,,"1. Navigate to the city view page
2. Find the created event
3. Click the ""Delete"" button",The event is deleted successfully.
TC-CITA-001,Create City,Cita,1,None,"- Valid city name: Rome
- Valid province: Lazio","1. Navigate to the city creation page
2. Enter the city and province details
3. Click the ""Save"" button",The city is created successfully.
TC-CITA-002,View City,Cita,1,City has been created,,"1. Navigate to the city view page
2. Find the created city
3. Click the city to view its details",The city details are displayed correctly.
TC-CITA-003,Modify City,Cita,1,City has been created,"- Modified city name: Milan
- Modified province: Lombardy","1. Navigate to the city view page
2. Find the created city
3. Click the ""Edit"" button
4. Modify the city details
5. Click the ""Save"" button",The city is modified successfully.
TC-CITA-004,Delete City,Cita,1,City has been created,,"1. Navigate to the city view page
2. Find the created city
3. Click the ""Delete"" button",The city is deleted successfully.
TC-POI-001,Create POI,POI,1,None,"- Valid POI name: Colosseum
- Valid province: Lazio
- Valid type: Historical Site
- Valid description: Ancient Roman amphitheater","1. Navigate to the POI creation page
2. Enter the POI and province details
3. Click the ""Save"" button",The POI is created successfully.
TC-POI-002,View POI,POI,1,POI has been created,,"1. Navigate to the POI view page
2. Find the created POI
3. Click the POI to view its details",The POI details are displayed correctly.
TC-POI-003,Modify POI,POI,1,POI has been created,"- Modified POI name: Leaning Tower of Pisa
- Modified province: Tuscany
- Modified type: Landmark
- Modified description: Famous tower with a lean","1. Navigate to the POI view page
2. Find the created POI
3. Click the ""Edit"" button
4. Modify the POI details
5. Click the ""Save"" button",The POI is modified successfully.
TC-POI-004,Delete POI,POI,1,POI has been created,,"1. Navigate to the POI view page
2. Find the created POI
3. Click the ""Delete"" button",The POI is deleted successfully.
TC-UTENTE-003,Invalid User Registration,Utente,1,None,"- Invalid email: invalidemail
- Invalid username: invalidusername
- Invalid password: shortpassword","1. Navigate to the registration page
2. Enter the invalid data
3. Click the ""Register"" button","The registration fails, and an error message is displayed."
TC-UTENTE-004,Invalid User Login,Utente,1,User has been registered,"- Invalid email: invalidemail
- Invalid password: wrongpassword","1. Navigate to the login page
2. Enter the invalid data
3. Click the ""Login"" button","The login fails, and an error message is displayed."
TC-EVENTI-005,Invalid Event Creation,Eventi,"1, 2, 3",User is logged in,"- Invalid event type: invalidtype
- Invalid date: pastdate
- Invalid creator: invalidcreator
- Invalid city: invalidcity
- Invalid description: shortdescription","1. Navigate to the city view page
2. Click the ""Add Event"" button
3. Enter the invalid data
4. Click the ""Save"" button","The event creation fails, and an error message is displayed."
