test_case_id,title,module,source_files,covered_methods,preconditions,test_data,test_steps,expected_result
TC-HOMEFRAG-001,Test onCreateView initializes components correctly,HomeFragment,"[""Ecodriving/app/src/main/java/com/example/ecodriving/ui/home/HomeFragment.java""]","[""onCreateView""]","[""Fragment is created""]",[],"[""Launch the app and navigate to the HomeFragment."", ""Verify that the speedTextView is initialized.""]","[""speedTextView is not null.""]"
TC-HOMEFRAG-002,Test handleButtonClick starts a trip,HomeFragment,"[""Ecodriving/app/src/main/java/com/example/ecodriving/ui/home/HomeFragment.java""]","[""handleButtonClick"", ""startTrip""]","[""Fragment is created and no trip is active""]",[],"[""Navigate to the HomeFragment."", ""Click the buttonStartTrip."", ""Verify that the button icon changes to 'stop'."", ""Verify that a toast message 'Tragitto avviato!' is displayed.""]","[""buttonStartTrip icon is changed to 'stop'."", ""Toast message 'Tragitto avviato!' is displayed.""]"
TC-HOMEFRAG-003,Test handleButtonClick ends a trip,HomeFragment,"[""Ecodriving/app/src/main/java/com/example/ecodriving/ui/home/HomeFragment.java""]","[""handleButtonClick"", ""endTrip""]","[""Fragment is created and a trip is active""]",[],"[""Navigate to the HomeFragment and start a trip."", ""Click the buttonStartTrip."", ""Verify that the button icon changes to 'start'."", ""Verify that a toast message 'Tragitto terminato!' is displayed.""]","[""buttonStartTrip icon is changed to 'start'."", ""Toast message 'Tragitto terminato!' is displayed.""]"
TC-HOMEFRAG-004,Test loadDailyCO2 fetches CO2 data successfully,HomeFragment,"[""Ecodriving/app/src/main/java/com/example/ecodriving/ui/home/HomeFragment.java""]","[""loadDailyCO2""]","[""Fragment is created and user is logged in""]",[],"[""Navigate to the HomeFragment."", ""Wait for the daily CO2 data to be fetched."", ""Verify that the CO2 display is updated.""]","[""CO2 display is updated with the fetched data.""]"
TC-HOMEFRAG-005,Test loadDailyCO2 handles user not logged in,HomeFragment,"[""Ecodriving/app/src/main/java/com/example/ecodriving/ui/home/HomeFragment.java""]","[""loadDailyCO2""]","[""Fragment is created and user is not logged in""]",[],"[""Navigate to the HomeFragment."", ""Wait for the daily CO2 data to be fetched."", ""Verify that an error message is displayed.""]","[""Error message 'Errore: utente non loggato' is displayed.""]"
TC-HOMEFRAG-006,Test saveTripToDatabase saves trip data successfully,HomeFragment,"[""Ecodriving/app/src/main/java/com/example/ecodriving/ui/home/HomeFragment.java""]","[""saveTripToDatabase""]","[""Fragment is created and a trip is ended""]",[],"[""Navigate to the HomeFragment and end a trip."", ""Wait for the trip data to be saved."", ""Verify that a success message is displayed.""]","[""Success message 'Tragitto salvato con successo!' is displayed.""]"
TC-HOMEFRAG-007,Test saveTripToDatabase handles user not logged in,HomeFragment,"[""Ecodriving/app/src/main/java/com/example/ecodriving/ui/home/HomeFragment.java""]","[""saveTripToDatabase""]","[""Fragment is created and user is not logged in""]",[],"[""Navigate to the HomeFragment and end a trip."", ""Wait for the trip data to be saved."", ""Verify that an error message is displayed.""]","[""Error message 'Errore: Utente non loggato!' is displayed.""]"
TC-HOMEFRAG-008,Test loadDailyTrips fetches trip data successfully,HomeFragment,"[""Ecodriving/app/src/main/java/com/example/ecodriving/ui/home/HomeFragment.java""]","[""loadDailyTrips""]","[""Fragment is created and user is logged in""]",[],"[""Navigate to the HomeFragment."", ""Wait for the daily trip data to be fetched."", ""Verify that trip cards are populated.""]","[""Trip cards are populated with the fetched data.""]"
TC-HOMEFRAG-009,Test loadDailyTrips handles user not logged in,HomeFragment,"[""Ecodriving/app/src/main/java/com/example/ecodriving/ui/home/HomeFragment.java""]","[""loadDailyTrips""]","[""Fragment is created and user is not logged in""]",[],"[""Navigate to the HomeFragment."", ""Wait for the daily trip data to be fetched."", ""Verify that an error message is displayed.""]","[""Error message 'Errore: utente non loggato' is displayed.""]"
TC-HOMEFRAG-010,Test onDestroyView cleans up resources,HomeFragment,"[""Ecodriving/app/src/main/java/com/example/ecodriving/ui/home/HomeFragment.java""]","[""onDestroyView""]","[""Fragment is created and destroyed""]",[],"[""Navigate to the HomeFragment and destroy it."", ""Verify that binding is set to null.""]","[""binding is set to null.""]"
