item_type,item_text,rank,matched_testcase_id,similarity_score,matched_testcase_text
concept,utente,1,TC-Access-001,0.7190292477607727,"test case id: tc-access-001 title: user access and default message display module: access source pages: 2 preconditions: user has accessed the system. test data: test steps: 1. user accesses the system. 2. system displays a default message. 3. system checks if at least one greenhouse is associated. 4. if no greenhouses are associated, system prompts the user to click ""serre"". 5. if at least one greenhouse is associated, system displays the list of greenhouses. 6. system loops back to the start. expected result: - default message is displayed. - if no greenhouses are associated, the user is prompted to click ""serre"". - if at least one greenhouse is associated, the list of greenhouses is displayed."
concept,utente,2,TC-UserGetInfo-001,0.7174198031425476,test case id: tc-usergetinfo-001 title: get user information module: usergetinfo source pages: 1 preconditions: user is logged in. test data: test steps: 1. user logs in. 2. user retrieves their information. 3. system provides the user information. expected result: - user information is retrieved and provided.
concept,utente,3,TC-AlertGet-001,0.7154569029808044,test case id: tc-alertget-001 title: get alert message module: alertget source pages: 1 preconditions: user is logged in. test data: test steps: 1. user logs in. 2. user retrieves the alert message. 3. system provides the alert message. expected result: - alert message is retrieved and provided.
concept,utente,4,TC-HistoryGet-001,0.7083074450492859,test case id: tc-historyget-001 title: get historical data module: historyget source pages: 1 preconditions: user is logged in. test data: test steps: 1. user logs in. 2. user retrieves historical data. 3. system provides the historical data. expected result: - historical data is retrieved and provided.
concept,utente,5,TC-UserCreate-001,0.7076112627983093,test case id: tc-usercreate-001 title: create new user module: usercreate source pages: 1 preconditions: system is ready to create a new user. test data: valid user details. test steps: 1. system creates a new user. 2. system assigns a unique id. 3. system stores the user details. expected result: - a new user is created with a unique id and stored details.
concept,utente,6,TC-DeviceAssociation-001,0.6951262950897217,test case id: tc-deviceassociation-001 title: user association with devices module: deviceassociation source pages: 1 preconditions: user is logged in. test data: valid device id. test steps: 1. user logs in. 2. user associates with a device. 3. system updates the association. expected result: - user is associated with the device.
concept,utente,7,TC-AlertSignal-001,0.6921911239624023,test case id: tc-alertsignal-001 title: signal an alert module: alertsignal source pages: 1 preconditions: user is logged in. test data: valid alert message. test steps: 1. user logs in. 2. user signals an alert. 3. system updates the alert message. expected result: - alert message is updated.
concept,utente,8,TC-HistoryCollection-001,0.6914044618606567,test case id: tc-historycollection-001 title: collect historical data module: historycollection source pages: 1 preconditions: user is logged in. test data: valid historical data. test steps: 1. user logs in. 2. user collects historical data. 3. system updates the history. expected result: - historical data is collected and updated.
concept,utente,9,TC-DeviceAssociation-002,0.6809515357017517,test case id: tc-deviceassociation-002 title: user association with multiple devices module: deviceassociation source pages: 1 preconditions: user is logged in. test data: multiple valid device ids. test steps: 1. user logs in. 2. user associates with multiple devices. 3. system updates the associations. expected result: - user is associated with all specified devices.
concept,utente,10,TC-ConfigGet-001,0.6784981489181519,test case id: tc-configget-001 title: get configuration settings module: configget source pages: 1 preconditions: user is logged in. test data: test steps: 1. user logs in. 2. user retrieves configuration settings. 3. system provides the configuration settings. expected result: - configuration settings are retrieved and provided.
concept,utente,11,TC-ConfigUpdate-001,0.6777380704879761,test case id: tc-configupdate-001 title: update configuration settings module: configupdate source pages: 1 preconditions: user is logged in. test data: valid configuration settings. test steps: 1. user logs in. 2. user updates configuration settings. 3. system updates the configuration. expected result: - configuration settings are updated.
concept,utente,12,TC-UserCreate-002,0.6753139495849609,"test case id: tc-usercreate-002 title: create new user with invalid input module: usercreate source pages: 1 preconditions: system is ready to create a new user. test data: invalid user details. test steps: 1. system attempts to create a new user. 2. system checks if input is valid. 3. if input is invalid, the user creation fails. expected result: - user creation fails if input is invalid."
concept,utente,13,TC-DeviceConfig-001,0.6627833843231201,test case id: tc-deviceconfig-001 title: device configuration module: deviceconfig source pages: 1 preconditions: user is logged in. test data: valid device configuration. test steps: 1. user logs in. 2. user configures a device. 3. system updates the device configuration. expected result: - device configuration is updated.
concept,utente,14,TC-UserGetInfo-002,0.6615285873413086,"test case id: tc-usergetinfo-002 title: get user information with invalid user module: usergetinfo source pages: 1 preconditions: user is logged in. test data: invalid user id. test steps: 1. user logs in. 2. user attempts to retrieve information for an invalid user. 3. system checks if the user exists. 4. if the user does not exist, the request fails. expected result: - request fails if the user does not exist."
concept,utente,15,TC-UserResetPassword-001,0.6613597273826599,test case id: tc-userresetpassword-001 title: reset user password module: userresetpassword source pages: 1 preconditions: user is logged in. test data: valid old password and new password. test steps: 1. user logs in. 2. user resets their password. 3. system updates the password. expected result: - user's password is updated.
concept,utente,16,TC-DeviceGetInfo-001,0.6608054041862488,test case id: tc-devicegetinfo-001 title: get device information module: devicegetinfo source pages: 1 preconditions: user is logged in. test data: valid device id. test steps: 1. user logs in. 2. user retrieves device information. 3. system provides the device information. expected result: - device information is retrieved and provided.
concept,utente,17,TC-DeviceAssociation-004,0.6564685106277466,test case id: tc-deviceassociation-004 title: user association with duplicate device module: deviceassociation source pages: 1 preconditions: user is logged in. test data: valid device id already associated with the user. test steps: 1. user logs in. 2. user attempts to associate with a device already associated. 3. system checks if the device is already associated. 4. if the device is expected result:
concept,utente,18,TC-AddDevices-001,0.6520196795463562,"test case id: tc-adddevices-001 title: add device with valid input module: adddevices source pages: 3 preconditions: user is logged in. test data: valid device id, name, and title. test steps: 1. user clicks ""add devices"". 2. system validates the input. 3. if input is valid, the operation is executed. 4. if input is invalid, the user is prompted to re-enter the data. expected result: - operation is executed successfully if input is valid. - user is prompted to re-enter data if input is invalid."
concept,utente,19,TC-AlertGet-002,0.6518159508705139,"test case id: tc-alertget-002 title: get alert message with invalid user module: alertget source pages: 1 preconditions: user is logged in. test data: invalid user id. test steps: 1. user logs in. 2. user attempts to retrieve the alert message for an invalid user. 3. system checks if the user exists. 4. if the user does not exist, the request fails. expected result: - request fails if the user does not exist."
concept,utente,20,TC-AddDevices-002,0.6463836431503296,"test case id: tc-adddevices-002 title: add device with invalid input module: adddevices source pages: 3 preconditions: user is logged in. test data: invalid device id, name, or title. test steps: 1. user clicks ""add devices"". 2. system validates the input. 3. if input is invalid, the user is prompted to re-enter the data. expected result: - user is prompted to re-enter data if input is invalid."
concept,utente,21,TC-HistoryGet-002,0.6436498165130615,"test case id: tc-historyget-002 title: get historical data with invalid user module: historyget source pages: 1 preconditions: user is logged in. test data: invalid user id. test steps: 1. user logs in. 2. user attempts to retrieve historical data for an invalid user. 3. system checks if the user exists. 4. if the user does not exist, the request fails. expected result: - request fails if the user does not exist."
concept,utente,22,TC-ConfigUpdate-002,0.6281667947769165,"test case id: tc-configupdate-002 title: update configuration settings with invalid input module: configupdate source pages: 1 preconditions: user is logged in. test data: invalid configuration settings. test steps: 1. user logs in. 2. user attempts to update configuration settings. 3. system checks if input is valid. 4. if input is invalid, the user is prompted to re-enter the data. expected result: - user is prompted to re-enter data if input is invalid."
concept,utente,23,TC-DeviceAssociation-003,0.6206849813461304,"test case id: tc-deviceassociation-003 title: user association with invalid device module: deviceassociation source pages: 1 preconditions: user is logged in. test data: invalid device id. test steps: 1. user logs in. 2. user attempts to associate with an invalid device. 3. system checks if the device exists. 4. if the device does not exist, the association fails. expected result: - association fails if the device does not exist."
concept,utente,24,TC-ConfigGet-002,0.6135988235473633,"test case id: tc-configget-002 title: get configuration settings with invalid user module: configget source pages: 1 preconditions: user is logged in. test data: invalid user id. test steps: 1. user logs in. 2. user attempts to retrieve configuration settings for an invalid user. 3. system checks if the user exists. 4. if the user does not exist, the request fails. expected result: - request fails if the user does not exist."
concept,utente,25,TC-ConfigureGreenhouse-002,0.6116141676902771,"test case id: tc-configuregreenhouse-002 title: configure greenhouse with invalid input module: configuregreenhouse source pages: 4 preconditions: user is connected to a greenhouse. test data: invalid configuration parameters. test steps: 1. user clicks ""configuration"". 2. system checks if fields are correctly entered. 3. if fields are not correctly entered, the user is prompted to re-enter the data. expected result: - user is prompted to re-enter data if fields are not correctly entered."
concept,utente,26,TC-UserResetPassword-002,0.6088404655456543,"test case id: tc-userresetpassword-002 title: reset user password with invalid input module: userresetpassword source pages: 1 preconditions: user is logged in. test data: invalid old password or new password. test steps: 1. user logs in. 2. user attempts to reset their password. 3. system checks if input is valid. 4. if input is invalid, the user is prompted to re-enter the data. expected result: - user is prompted to re-enter data if input is invalid."
concept,utente,27,TC-DeviceGetInfo-002,0.603426992893219,"test case id: tc-devicegetinfo-002 title: get device information with invalid device module: devicegetinfo source pages: 1 preconditions: user is logged in. test data: invalid device id. test steps: 1. user logs in. 2. user attempts to retrieve information for an invalid device. 3. system checks if the device exists. 4. if the device does not exist, the request fails. expected result: - request fails if the device does not exist."
concept,utente,28,TC-ConfigureGreenhouse-001,0.5982794165611267,"test case id: tc-configuregreenhouse-001 title: configure greenhouse with valid input module: configuregreenhouse source pages: 4 preconditions: user is connected to a greenhouse. test data: valid configuration parameters. test steps: 1. user clicks ""configuration"". 2. system checks if fields are correctly entered. 3. if fields are correctly entered, the operation is executed. 4. if fields are not correctly entered, the user is prompted to re-enter the data. expected result: - operation is executed successfully if fields are correctly entered. - user is prompted to re-enter data if fields are not correctly entered."
concept,utente,29,TC-DeviceConfig-002,0.5978468060493469,"test case id: tc-deviceconfig-002 title: device configuration with invalid input module: deviceconfig source pages: 1 preconditions: user is logged in. test data: invalid device configuration. test steps: 1. user logs in. 2. user attempts to configure a device. 3. system checks if input is valid. 4. if input is invalid, the user is prompted to re-enter the data. expected result: - user is prompted to re-enter data if input is invalid."
concept,devices,1,TC-DeviceAssociation-001,0.7547664046287537,test case id: tc-deviceassociation-001 title: user association with devices module: deviceassociation source pages: 1 preconditions: user is logged in. test data: valid device id. test steps: 1. user logs in. 2. user associates with a device. 3. system updates the association. expected result: - user is associated with the device.
concept,devices,2,TC-DeviceAssociation-002,0.7430980205535889,test case id: tc-deviceassociation-002 title: user association with multiple devices module: deviceassociation source pages: 1 preconditions: user is logged in. test data: multiple valid device ids. test steps: 1. user logs in. 2. user associates with multiple devices. 3. system updates the associations. expected result: - user is associated with all specified devices.
