Test Case ID,Title,Module,Source UML Pages,Preconditions,Test Data,Test Steps,Expected Result
TC-Login-001,Successful Login with Correct Credentials,Login,1,User has an existing account with valid credentials.,"- Username: john_doe
- Password: securepassword123","1. User enters the username ""john_doe"".
2. User enters the password ""securepassword123"".
3. User clicks on the login button.",User is successfully authenticated and redirected to the home page.
TC-Login-002,Failed Login with Incorrect Username,Login,1,User does not have an account with the provided username.,"- Username: non_existent_user
- Password: securepassword123","1. User enters the username ""non_existent_user"".
2. User enters the password ""securepassword123"".
3. User clicks on the login button.",User receives an error message indicating unauthorized access.
TC-Login-003,Failed Login with Incorrect Password,Login,1,User has an existing account but enters an incorrect password.,"- Username: john_doe
- Password: wrongpassword","1. User enters the username ""john_doe"".
2. User enters the password ""wrongpassword"".
3. User clicks on the login button.",User receives an error message indicating unauthorized access.
TC-Signup-001,Successful Registration with Valid Email and Password,Signup,1,User does not have an existing account.,"- Email: jane.doe@example.com
- Password: securepassword123","1. User enters the email ""jane.doe@example.com"".
2. User enters the password ""securepassword123"".
3. User clicks on the signup button.",User is successfully registered and redirected to the login page.
TC-Signup-002,Failed Registration with Invalid Email Format,Signup,1,User does not have an existing account.,"- Email: janedoeexample.com
- Password: securepassword123","1. User enters the email ""janedoeexample.com"".
2. User enters the password ""securepassword123"".
3. User clicks on the signup button.",User receives an error message indicating invalid email format.
TC-Signup-003,Failed Registration with Weak Password,Signup,1,User does not have an existing account.,"- Email: jane.doe@example.com
- Password: 123","1. User enters the email ""jane.doe@example.com"".
2. User enters the password ""123"".
3. User clicks on the signup button.",User receives an error message indicating weak password.
TC-Profile-001,Successful Profile Update with Valid Data,Profile,1,User is logged in and has an existing profile.,"- Username: john_doe
- ProfileData: {""bio"": ""Software Developer"", ""location"": ""New York""}","1. User navigates to the profile page.
2. User updates the bio to ""Software Developer"".
3. User updates the location to ""New York"".
4. User clicks on the save button.",User's profile is successfully updated and the changes are reflected on the profile page.
TC-Profile-002,Failed Profile Update with Empty Bio Field,Profile,1,User is logged in and has an existing profile.,"- Username: john_doe
- ProfileData: {""bio"": """", ""location"": ""New York""}","1. User navigates to the profile page.
2. User leaves the bio field empty.
3. User updates the location to ""New York"".
4. User clicks on the save button.",User receives an error message indicating that the bio field cannot be empty.
TC-Profile-003,Failed Profile Update with Invalid Location Format,Profile,1,User is logged in and has an existing profile.,"- Username: john_doe
- ProfileData: {""bio"": ""Software Developer"", ""location"": ""12345""}","1. User navigates to the profile page.
2. User updates the bio to ""Software Developer"".
3. User updates the location to ""12345"".
4. User clicks on the save button.",User receives an error message indicating that the location field must be a valid city name.
TC-Exit-001,Successful Exit with Reason Provided,Exit,1,User is logged in and wants to exit the application.,"- ExitReason: ""Leaving for the day""","1. User decides to exit the application.
2. User enters the exit reason ""Leaving for the day"".
3. User clicks on the exit button.",User is successfully exited from the application and receives a confirmation message.
