"Test Case ID","Title","Module","Source Pages","Preconditions","Test Data","Test Steps","Expected Result"
"TC-AccountManagement-001","Create a new user account","Account Management","7","User has an Android device with UniMove installed and a valid email address.","Valid email (e.g., testuser@unive.it), strong password (e.g., P@ssw0rd!), full name (e.g., John Doe)","1. Open UniMove application.
2. Navigate to the account creation screen.
3. Enter valid email address in the email field.
4. Enter a strong password in the password field.
5. Re-enter the same password in the confirm password field.
6. Enter full name in the name field.
7. Click on the ""Create Account"" button.","Account is successfully created, and the user is redirected to the login screen with a confirmation message."
"TC-AccountManagement-002","Login with valid credentials","Account Management","8","User has an existing account in UniMove.","Valid email (e.g., testuser@unive.it), correct password (e.g., P@ssw0rd!)","1. Open UniMove application.
2. Navigate to the login screen.
3. Enter valid email address in the email field.
4. Enter correct password in the password field.
5. Click on the ""Login"" button.","User is successfully logged in and redirected to the home screen."
"TC-ScheduleManagement-003","Insert weekly university schedule and location","Schedule Management","4","User is logged in to UniMove.","Valid university schedule (e.g., Monday: 9:00-13:00, Wednesday: 14:00-18:00), valid location (e.g., Mestre)","1. Open UniMove application.
2. Navigate to the schedule insertion screen.
3. Select the day of the week (e.g., Monday).
4. Enter start time (e.g., 9:00).
5. Enter end time (e.g., 13:00).
6. Select the university location (e.g., Mestre).
7. Repeat steps 3-6 for additional days.
8. Click on the ""Save Schedule"" button.","Schedule is successfully saved, and the user receives a confirmation message."
"TC-TransportationManage-004","Select and save preferred transportation methods","Transportation Management","4","User is logged in to UniMove and has inserted a valid schedule.","Preferred transportation methods (e.g., Bus Line 10, Train Line 1)","1. Open UniMove application.
2. Navigate to the transportation selection screen.
3. Select preferred transportation methods (e.g., Bus Line 10).
4. Click on the ""Save Preferences"" button.","Selected transportation methods are saved to the user’s profile, and the user receives a confirmation message."
"TC-NotificationSystem-005","Receive notification for transport disruptions","Notification System","4","User is logged in to UniMove, has saved transportation preferences, and has enabled notifications.","Simulated transport disruption (e.g., Bus Line 10 is out of service)","1. Simulate a transport disruption (e.g., Bus Line 10 is out of service).
2. Ensure the user has selected Bus Line 10 as a preferred transportation method.
3. Wait for the system to detect the disruption.","User receives a notification alerting them about the disruption of Bus Line 10, including alternative suggestions if available."
"TC-ErrorReporting-006","Report an error in travel time estimates","Error Reporting","4","User is logged in to UniMove and has traveled using a transportation method.","Error description (e.g., ""Bus Line 10 took 30 minutes longer than estimated""), actual travel time (e.g., 45 minutes), estimated travel time (e.g., 15 minutes)","1. Open UniMove application.
2. Navigate to the error reporting screen.
3. Select the transportation method used (e.g., Bus Line 10).
4. Enter the actual travel time (e.g., 45 minutes).
5. Enter the estimated travel time (e.g., 15 minutes).
6. Enter a description of the error (e.g., ""Bus Line 10 took 30 minutes longer than estimated"").
7. Click on the ""Submit Report"" button.","Error report is successfully submitted, and the user receives a confirmation message."
"TC-ProfileManagement-007","View and edit user profile","Profile Management","14","User is logged in to UniMove.","Updated profile information (e.g., new phone number, updated address)","1. Open UniMove application.
2. Navigate to the profile screen.
3. Verify displayed information (e.g., name, email, saved transportation methods).
4. Click on the ""Edit Profile"" button.
5. Update profile information (e.g., new phone number).
6. Click on the ""Save Changes"" button.","Profile information is successfully updated, and the user receives a confirmation message. Updated information is displayed correctly on the profile screen."
"TC-AccountManagement-008","Successful Account Creation with Email Verification","Account Management","7","User has installed the app on their device.","Valid email address, strong password, confirmed password","1. User opens the app for the first time.
2. User selects the option to create an account.
3. User enters a valid email address.
4. User enters a password and confirms it.
5. User clicks the ""Send Verification Link"" button.
6. User checks the email inbox and clicks the verification link.","Account is successfully created in the database, and the user receives confirmation of registration."
"TC-AccountManagement-009","Account Creation with Existing Email","Account Management","7","User has installed the app on their device.","Email address already registered in the system","1. User opens the app for the first time.
2. User selects the option to create an account.
3. User enters an email address already registered in the system.
4. User enters a password and confirms it.
5. User clicks the ""Send Verification Link"" button.","System displays an error message indicating the email is already registered."
"TC-Authentication-010","Successful Login with Valid Credentials","Authentication","8","User has installed the app and created an account.","Valid email and password","1. User opens the app.
2. User enters a valid email address.
3. User enters the correct password.
4. User clicks the ""Login"" button.","User is successfully authenticated and gains access to the application."
