src_tc_id,best_ref_tc_id,best_similarity,src_embedding_text,best_ref_embedding_text
TC-AUTHENTICATION-001,TC-MA-008,0.7912792563438416,source: design test case id: tc-authentication-001 title: successful user registration with otp verification module: user registration source files or pages: 3 covered methods: preconditions: - user has a valid email and password. - server and database are operational. - network connectivity is stable. test data: - email: `testuser@example.com` - password: `securepass123!` - otp: `123456` (generated by server) test steps: 1. user opens the app and fills registration form with email and password. 2. app calls `doregistration()` on the server. 3. server saves user data to the database. 4. server generates otp (`123456`) and saves it to `password_reset_tokens` table. 5. user enters otp (`123456`) in the app. 6. app calls `sendotp()` with the otp. 7. server retrieves saved otp from the database and verifies it. 8. server generates and returns an authentication token to the app. expected result: - user account is created in the `users` table. - otp is stored in `password_reset_tokens` with an expiry date. - authentication token is returned to the app. - user is logged in automatically. unit: project:,"source: code test case id: tc-ma-008 title: test case for updatepasswordifnecessary method module: manageaccountactivity source files or pages: [""src/main/java/com/ecolution/ecofood/profile/manageaccount/manageaccountactivity.java""] covered methods: [""updatepasswordifnecessary""] preconditions: [""the activity is created""] test data: [""the user's password is updated""] test steps: [""the user's password is updated""] expected result: [""the user's password is updated""] unit: profile_14 project: app"
TC-AUTHENTICATION-002,TC-CustomerModel-004,0.7866238355636597,"source: design test case id: tc-authentication-002 title: failed otp verification during registration module: user registration source files or pages: 3 covered methods: preconditions: - user has submitted registration data. - server generated otp (`123456`) but user enters incorrect otp. test data: - email: `testuser@example.com` - password: `securepass123!` - incorrect otp: `654321` test steps: 1. user fills registration form and submits. 2. server generates and saves otp (`123456`). 3. user enters incorrect otp (`654321`). 4. app calls `sendotp()` with incorrect otp. 5. server retrieves saved otp and compares it with the input. expected result: - server rejects the otp. - app displays an error message: ""invalid otp. please try again."" - user account is **not** created in the database. - no authentication token is generated. unit: project:","source: code test case id: tc-customermodel-004 title: customermodel constructor with invalid arguments module: customermodel source files or pages: [""src/main/java/com/ecolution/ecofood/model/customermodel.java""] covered methods: [""customermodel""] preconditions: [""invalid arguments passed to the constructor""] test data: [""invalid values for all fields""] test steps: [""create a new instance of the customermodel class with invalid arguments""] expected result: [""the instance should not be created and an exception should be thrown""] unit: app_01 project: app"
TC-AUTHENTICATION-003,TC-MA-008,0.8533109426498413,source: design test case id: tc-authentication-003 title: successful user login with valid credentials module: user login source files or pages: 4 covered methods: preconditions: - user exists in the `users` table with `is_active = true`. - server and database are operational. test data: - email: `testuser@example.com` - password: `securepass123!` - stored password hash: `hashed_securepass123!` test steps: 1. user enters email and password in the app. 2. app calls `emailvalidate()` and `passwordvalidate()` on the server. 3. server requests the password hash from the database for the given email. 4. database returns the stored password hash (`hashed_securepass123!`). 5. server calls `checkpassword()` to compare the input password hash with the stored hash. 6. server generates an authentication token and sends it to the app. 7. app saves the token and opens the home screen. expected result: - server validates email and password successfully. - authentication token is generated and returned. - app saves the token and navigates to the home screen. - user session is created in the `sessions` table. unit: project:,"source: code test case id: tc-ma-008 title: test case for updatepasswordifnecessary method module: manageaccountactivity source files or pages: [""src/main/java/com/ecolution/ecofood/profile/manageaccount/manageaccountactivity.java""] covered methods: [""updatepasswordifnecessary""] preconditions: [""the activity is created""] test data: [""the user's password is updated""] test steps: [""the user's password is updated""] expected result: [""the user's password is updated""] unit: profile_14 project: app"
TC-AUTHENTICATION-004,TC-MA-008,0.8402281403541565,"source: design test case id: tc-authentication-004 title: failed login with incorrect password module: user login source files or pages: 4 covered methods: preconditions: - user exists in the `users` table. - server and database are operational. test data: - email: `testuser@example.com` - incorrect password: `wrongpass123!` - stored password hash: `hashed_securepass123!` test steps: 1. user enters email (`testuser@example.com`) and incorrect password (`wrongpass123!`). 2. app calls `emailvalidate()` and `passwordvalidate()`. 3. server retrieves the stored password hash from the database. 4. server calls `checkpassword()` to compare hashes. 5. server detects a mismatch. expected result: - server rejects the login attempt. - app displays an error message: ""invalid email or password."" - no authentication token is generated. - no session is created in the `sessions` table. unit: project:","source: code test case id: tc-ma-008 title: test case for updatepasswordifnecessary method module: manageaccountactivity source files or pages: [""src/main/java/com/ecolution/ecofood/profile/manageaccount/manageaccountactivity.java""] covered methods: [""updatepasswordifnecessary""] preconditions: [""the activity is created""] test data: [""the user's password is updated""] test steps: [""the user's password is updated""] expected result: [""the user's password is updated""] unit: manageaccount_10 project: app"
TC-AUTHENTICATION-005,TC-MA-008,0.8318452835083008,"source: design test case id: tc-authentication-005 title: password recovery request with valid email module: password recovery source files or pages: 5 covered methods: preconditions: - user exists in the `users` table with email `testuser@example.com`. - server and database are operational. test data: - email: `testuser@example.com` - new password: `newsecurepass456!` test steps: 1. user requests password recovery via the app. 2. app calls `lostpswrequest()` on the server. 3. server checks the email in the database and confirms it exists. 4. server generates a recovery token (e.g., `abc123xyz`) and saves it to `password_reset_tokens`. 5. server sends an email with a reset link containing the token to the user. 6. user clicks the link and submits the new password (`newsecurepass456!`) along with the token. 7. server validates the token and updates the user's password in the database. expected result: - recovery token is generated and stored in `password_reset_tokens`. - email with reset link is sent successfully. - new password is updated in the `users` table. - user receives confirmation: ""password changed successfully."" unit: project:","source: code test case id: tc-ma-008 title: test case for updatepasswordifnecessary method module: manageaccountactivity source files or pages: [""src/main/java/com/ecolution/ecofood/profile/manageaccount/manageaccountactivity.java""] covered methods: [""updatepasswordifnecessary""] preconditions: [""the activity is created""] test data: [""the user's password is updated""] test steps: [""the user's password is updated""] expected result: [""the user's password is updated""] unit: ecofood_03 project: app"
TC-AUTHENTICATION-006,TC-MA-008,0.8153936862945557,"source: design test case id: tc-authentication-006 title: password recovery request with invalid email module: password recovery source files or pages: 5 covered methods: preconditions: - server and database are operational. test data: - invalid email: `nonexistent@example.com` test steps: 1. user requests password recovery with an invalid email. 2. app calls `lostpswrequest()`. 3. server checks the email in the database and finds no match. 4. server does not generate a token or send an email. expected result: - app displays an error message: ""email not found. please check and try again."" - no token is generated in `password_reset_tokens`. - no email is sent. unit: project:","source: code test case id: tc-ma-008 title: test case for updatepasswordifnecessary method module: manageaccountactivity source files or pages: [""src/main/java/com/ecolution/ecofood/profile/manageaccount/manageaccountactivity.java""] covered methods: [""updatepasswordifnecessary""] preconditions: [""the activity is created""] test data: [""the user's password is updated""] test steps: [""the user's password is updated""] expected result: [""the user's password is updated""] unit: ecofood_03 project: app"
TC-PROFILE-BROWSING-001,TC-HomeActivity-004,0.8332079648971558,"source: design test case id: tc-profile-browsing-001 title: load initial set of cards on homepage module: profile browsing source files or pages: 6 covered methods: preconditions: - user is logged in. - database contains at least 10 product/profile records. - server and database are operational. test data: - preload count (`n`): `10` test steps: 1. user opens the homepage. 2. app calls `initcards(10)`. 3. app requests `10` objects from the server. 4. server queries the database for `10` records (e.g., profiles/products). 5. database returns `10` records to the server. 6. server sends the records to the app. 7. app populates and displays the cards to the user. expected result: - app displays `10` cards with profile/product data. - no errors or loading issues occur. unit: project:","source: code test case id: tc-homeactivity-004 title: test case 4: verify that the app loads the fragment correctly when the profile button is clicked module: homeactivity source files or pages: [""src/main/java/com/ecolution/ecofood/homepages/homeactivity.java""] covered methods: [""loadfragment""] preconditions: [""the app is launched""] test data: [""the profile button is clicked""] test steps: [""verify that the app loads the fragment correctly when the profile button is clicked""] expected result: [""the app loads the fragment correctly when the profile button is clicked""] unit: homepages_09 project: app"
TC-PROFILE-BROWSING-002,TC-FavouritesListActivity-001,0.808673620223999,source: design test case id: tc-profile-browsing-002 title: load additional cards after swiping module: profile browsing source files or pages: 6 covered methods: preconditions: - user has already loaded and swiped `5` cards. - database contains at least `15` records. - server and database are operational. test data: - initial load: `10` cards. - swipe count: `5` (half of initial load). - offset: `5` (for next batch). test steps: 1. user swipes `5` cards. 2. app requests `5` more objects with offset `5` from the server. 3. server queries the database for `5` records starting from offset `5`. 4. database returns `5` records to the server. 5. server sends the records to the app. 6. app populates and displays the next `5` cards. expected result: - app displays the next `5` cards without duplication or gaps. - no errors occur during the request/response cycle. unit: project:,"source: code test case id: tc-favouriteslistactivity-001 title: test that the activity is launched and the ui is displayed correctly module: favouriteslistactivity source files or pages: [""src/main/java/com/ecolution/ecofood/favourites/favouriteslistactivity.java""] covered methods: [""oncreate""] preconditions: [""the activity is launched""] test data: [""no input data""] test steps: [""launch the activity"", ""verify that the ui is displayed correctly""] expected result: [""the activity is launched and the ui is displayed correctly""] unit: favourites_08 project: app"
TC-MATCHING-001,TC-ShopListActivity-003,0.8466415405273438,"source: design test case id: tc-matching-001 title: successful match between two users module: user matching source files or pages: 7 covered methods: preconditions: - user 1 and user 2 exist in the `users` table. - both users have active sessions. - server and database are operational. test data: test steps: 1. user 2 swipes right on user 1’s profile. 2. app utente 2 calls `trackobjectpref(true)` for user 1. 3. server saves the preference in the database. 4. user 1 swipes right on user 2’s profile. 5. app utente 1 calls `trackobjectpref(true)` for user 2. 6. server saves the preference in the database. 7. server checks for mutual matches and confirms a match exists. 8. server sends a notification to both apps. 9. both apps display the match screen and open the chat. expected result: - mutual match is recorded in the database (e.g., in a `matches` table if it exists). - both users receive a notification and see the match screen. - chat interface is opened for both users. unit: project:","source: code test case id: tc-shoplistactivity-003 title: test that the activity evaluates the current user correctly module: shoplistactivity source files or pages: [""src/main/java/com/ecolution/ecofood/shoplist/shoplistactivity.java""] covered methods: [""evaluatecurrentuser""] preconditions: [""the activity is created""] test data: [""a user id""] test steps: [""verify that the current user is evaluated correctly""] expected result: [""the current user is evaluated correctly""] unit: shoplist_16 project: app"
TC-MATCHING-002,TC-ShopListActivity-004,0.8374910354614258,source: design test case id: tc-matching-002 title: no match due to one-sided swipe module: user matching source files or pages: 7 covered methods: preconditions: - user 1 and user 2 exist. - server and database are operational. test data: test steps: 1. user 2 swipes right on user 1’s profile. 2. app utente 2 calls `trackobjectpref(true)`. 3. server saves the preference. 4. user 1 swipes left on user 2’s profile (no match). 5. app utente 1 calls `trackobjectpref(false)`. 6. server saves the preference. 7. server checks for mutual matches and finds none. expected result: - no match is recorded. - no notifications are sent to either user. - both users continue browsing without any match alerts. unit: project:,"source: code test case id: tc-shoplistactivity-004 title: test that the activity updates the favourites list correctly module: shoplistactivity source files or pages: [""src/main/java/com/ecolution/ecofood/shoplist/shoplistactivity.java""] covered methods: [""evaluatecurrentuser""] preconditions: [""the activity is created""] test data: [""a list of favourites""] test steps: [""verify that the favourites list is updated correctly""] expected result: [""the favourites list is updated correctly""] unit: shoplist_16 project: app"
