test_case_id,title,module,source_files,covered_methods,preconditions,test_data,test_steps,expected_result,run_id,project,unit,file,file_output_dir
TC-AddReportActivity-001,Test case 1: Check that the activity is created correctly,AddReportActivity,"[""app/src/main/java/com/seaguard/ui/home/AddReportActivity.java""]","[""onCreate""]","[""The activity is launched""]","[""No report to edit""]","[""Launch the activity""]","[""The activity is created correctly""]",,Code_File6,app_01,app/src/main/java/com/seaguard/ui/home/AddReportActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File6/app_01__AddReportActivity_015
TC-AddReportActivity-002,Test case 2: Check that the location name is set correctly,AddReportActivity,"[""app/src/main/java/com/seaguard/ui/home/AddReportActivity.java""]","[""getLocationDetails""]","[""The activity is launched""]","[""No report to edit""]","[""Check that the location name is set correctly""]","[""The location name is set correctly""]",,Code_File6,app_01,app/src/main/java/com/seaguard/ui/home/AddReportActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File6/app_01__AddReportActivity_015
TC-AddReportActivity-003,Test case 3: Check that the time and date are set correctly,AddReportActivity,"[""app/src/main/java/com/seaguard/ui/home/AddReportActivity.java""]","[""onCreate""]","[""The activity is launched""]","[""No report to edit""]","[""Check that the time and date are set correctly""]","[""The time and date are set correctly""]",,Code_File6,app_01,app/src/main/java/com/seaguard/ui/home/AddReportActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File6/app_01__AddReportActivity_015
TC-AddReportActivity-004,Test case 4: Check that the description is set correctly,AddReportActivity,"[""app/src/main/java/com/seaguard/ui/home/AddReportActivity.java""]","[""onCreate""]","[""The activity is launched""]","[""No report to edit""]","[""Check that the description is set correctly""]","[""The description is set correctly""]",,Code_File6,app_01,app/src/main/java/com/seaguard/ui/home/AddReportActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File6/app_01__AddReportActivity_015
TC-AddReportActivity-005,Test case 5: Check that the categories are set correctly,AddReportActivity,"[""app/src/main/java/com/seaguard/ui/home/AddReportActivity.java""]","[""onCreate""]","[""The activity is launched""]","[""No report to edit""]","[""Check that the categories are set correctly""]","[""The categories are set correctly""]",,Code_File6,app_01,app/src/main/java/com/seaguard/ui/home/AddReportActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File6/app_01__AddReportActivity_015
TC-AddReportActivity-006,Test case 6: Check that the stars are set correctly,AddReportActivity,"[""app/src/main/java/com/seaguard/ui/home/AddReportActivity.java""]","[""onCreate""]","[""The activity is launched""]","[""No report to edit""]","[""Check that the stars are set correctly""]","[""The stars are set correctly""]",,Code_File6,app_01,app/src/main/java/com/seaguard/ui/home/AddReportActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File6/app_01__AddReportActivity_015
TC-AddReportActivity-007,Test case 7: Check that the upload photo button is set correctly,AddReportActivity,"[""app/src/main/java/com/seaguard/ui/home/AddReportActivity.java""]","[""onCreate""]","[""The activity is launched""]","[""No report to edit""]","[""Check that the upload photo button is set correctly""]","[""The upload photo button is set correctly""]",,Code_File6,app_01,app/src/main/java/com/seaguard/ui/home/AddReportActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File6/app_01__AddReportActivity_015
TC-AddReportActivity-008,Test case 8: Check that the save button is set correctly,AddReportActivity,"[""app/src/main/java/com/seaguard/ui/home/AddReportActivity.java""]","[""onCreate""]","[""The activity is launched""]","[""No report to edit""]","[""Check that the save button is set correctly""]","[""The save button is set correctly""]",,Code_File6,app_01,app/src/main/java/com/seaguard/ui/home/AddReportActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File6/app_01__AddReportActivity_015
TC-AddReportActivity-009,Test case 9: Check that the fields are checked correctly,AddReportActivity,"[""app/src/main/java/com/seaguard/ui/home/AddReportActivity.java""]","[""fieldsCheck""]","[""The activity is launched""]","[""No report to edit""]","[""Check that the fields are checked correctly""]","[""The fields are checked correctly""]",,Code_File6,app_01,app/src/main/java/com/seaguard/ui/home/AddReportActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File6/app_01__AddReportActivity_015
TC-AddReportActivity-010,Test case 10: Check that the report is saved correctly,AddReportActivity,"[""app/src/main/java/com/seaguard/ui/home/AddReportActivity.java""]","[""saveReport""]","[""The activity is launched""]","[""No report to edit""]","[""Check that the report is saved correctly""]","[""The report is saved correctly""]",,Code_File6,app_01,app/src/main/java/com/seaguard/ui/home/AddReportActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File6/app_01__AddReportActivity_015
TC-AddReportActivity-011,Test case 11: Check that the report is updated correctly,AddReportActivity,"[""app/src/main/java/com/seaguard/ui/home/AddReportActivity.java""]","[""updateReport""]","[""The activity is launched""]","[""A report to edit""]","[""Check that the report is updated correctly""]","[""The report is updated correctly""]",,Code_File6,app_01,app/src/main/java/com/seaguard/ui/home/AddReportActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File6/app_01__AddReportActivity_015
