test_case_id,title,module,source_files,covered_methods,preconditions,test_data,test_steps,expected_result
TC-Speedometer-001,Test getTotalDistance method,Speedometer,"[""Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java""]","[""getTotalDistance""]","[""Speedometer instance created""]","[""totalDistanceMetri = 5000""]","[""Set totalDistanceMetri to 5000"", ""Call getTotalDistance()""]","[""Return value should be 5.0""]"
TC-Speedometer-002,Test start method,Speedometer,"[""Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java""]","[""start""]","[""Speedometer instance created""]","[""None""]","[""Call start()""]","[""getCurrentLocation() should be called""]"
TC-Speedometer-003,Test getInstance method,Speedometer,"[""Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java""]","[""getInstance""]","[""None""]","[""Context and Activity instances""]","[""Call getInstance(context, activity, speedTextView)""]","[""Instance should be created and returned""]"
TC-Speedometer-004,Test createLocationRequest method,Speedometer,"[""Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java""]","[""createLocationRequest""]","[""Speedometer instance created""]","[""None""]","[""Call createLocationRequest()""]","[""LocationRequest object should be created with high accuracy priority and intervals of 500ms and 250ms""]"
TC-Speedometer-005,Test getCurrentLocation method without permissions,Speedometer,"[""Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java""]","[""getCurrentLocation""]","[""Speedometer instance created""]","[""No permissions granted""]","[""Call getCurrentLocation()""]","[""Permission request dialog should be shown""]"
TC-Speedometer-006,Test getCurrentLocation method with permissions,Speedometer,"[""Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java""]","[""getCurrentLocation""]","[""Speedometer instance created""]","[""Permissions granted""]","[""Call getCurrentLocation()""]","[""Location updates should be requested""]"
TC-Speedometer-007,Test requestLocationUpdates method,Speedometer,"[""Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java""]","[""requestLocationUpdates""]","[""Speedometer instance created""]","[""LocationRequest object""]","[""Call requestLocationUpdates(locationRequest)""]","[""Location updates should be requested""]"
TC-Speedometer-008,Test onLocationResult method with null result,Speedometer,"[""Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java""]","[""onLocationResult""]","[""Speedometer instance created""]","[""null LocationResult""]","[""Call onLocationResult(null)""]","[""Method should exit without doing anything""]"
TC-Speedometer-009,Test onLocationResult method with valid result,Speedometer,"[""Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java""]","[""onLocationResult""]","[""Speedometer instance created""]","[""Valid LocationResult with one location""]","[""Call onLocationResult(locationResult)""]","[""calculateSpeed() should be called with the location""]"
TC-Speedometer-010,Test calculateSpeed method with no previous location,Speedometer,"[""Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java""]","[""calculateSpeed""]","[""Speedometer instance created""]","[""Current location without previous location""]","[""Call calculateSpeed(currentLocation)""]","[""speedTextView should display 'Avvia il tragitto'""]"
TC-Speedometer-011,Test calculateSpeed method with valid data,Speedometer,"[""Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java""]","[""calculateSpeed""]","[""Speedometer instance created""]","[""Current location with previous location""]","[""Call calculateSpeed(currentLocation)""]","[""speedTextView should display calculated speed and updated distance""]"
TC-Speedometer-012,Test resetTotalDistance method,Speedometer,"[""Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java""]","[""resetTotalDistance""]","[""Speedometer instance created""]","[""totalDistanceMetri = 5000""]","[""Set totalDistanceMetri to 5000"", ""Call resetTotalDistance()""]","[""totalDistanceMetri should be reset to 0""]"
TC-Speedometer-013,Test getLoaded method,Speedometer,"[""Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java""]","[""getLoaded""]","[""Speedometer instance created""]","[""loaded = true""]","[""Set loaded to true"", ""Call getLoaded()""]","[""Return value should be true""]"
TC-Speedometer-014,Test setLoaded method,Speedometer,"[""Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java""]","[""setLoaded""]","[""Speedometer instance created""]","[""loaded = false""]","[""Set loaded to false"", ""Call setLoaded(true)"", ""Call getLoaded()""]","[""Return value should be true""]"
