test_case_id,title,module,source_files,covered_methods,preconditions,test_data,test_steps,expected_result,run_id,project,unit,file,file_output_dir
TC-HomeActivity-001,Verify onCreate() method,HomeActivity,"[""HealTech/app/src/main/java/com/example/healtech/activities/HomeActivity.java""]","[""onCreate""]","[""The app is launched""]","[""No input""]","[""Launch the app"", ""Verify that the onCreate() method is called""]","[""The onCreate() method is called successfully""]",,Code_File4,activities_02,HealTech/app/src/main/java/com/example/healtech/activities/HomeActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File4/activities_02__HomeActivity_001
TC-MainActivity-001,Test case 1: onCreate with null savedInstanceState,MainActivity,"[""HealTech/app/src/main/java/com/example/healtech/activities/MainActivity.java""]","[""onCreate""]","[""The activity is not yet created""]","[""null""]","[""1. Call onCreate with null savedInstanceState""]","[""The activity is created""]",,Code_File4,activities_02,HealTech/app/src/main/java/com/example/healtech/activities/MainActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File4/activities_02__MainActivity_002
TC-MainActivity-002,Test case 2: onCreate with non-null savedInstanceState,MainActivity,"[""HealTech/app/src/main/java/com/example/healtech/activities/MainActivity.java""]","[""onCreate""]","[""The activity is not yet created""]","[""non-null savedInstanceState""]","[""1. Call onCreate with non-null savedInstanceState""]","[""The activity is created""]",,Code_File4,activities_02,HealTech/app/src/main/java/com/example/healtech/activities/MainActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File4/activities_02__MainActivity_002
TC-BottomAppBarFragment-001,BottomAppBarFragment - onCreateView,BottomAppBarFragment,"[""HealTech/app/src/main/java/com/example/healtech/fragments/BottomAppBarFragment.java""]","[""onCreateView""]","[""None""]","[""None""]","[""Launch the app"", ""Verify that the BottomAppBarFragment is displayed"", ""Verify that the BottomNavigationView is displayed"", ""Verify that the fragment_bottom_navigation layout is inflated""]","[""The BottomAppBarFragment is displayed and the BottomNavigationView is displayed, and the fragment_bottom_navigation layout is inflated.""]",,Code_File4,app_04,HealTech/app/src/main/java/com/example/healtech/fragments/BottomAppBarFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File4/app_04__BottomAppBarFragment_005
TC-BottomAppBarFragment-002,BottomAppBarFragment - onNavigationItemSelected,BottomAppBarFragment,"[""HealTech/app/src/main/java/com/example/healtech/fragments/BottomAppBarFragment.java""]","[""onNavigationItemSelected""]","[""None""]","[""None""]","[""Launch the app"", ""Select a navigation item (e.g. Home)"", ""Verify that the selected fragment is displayed"", ""Verify that the navigation item is selected""]","[""The selected fragment is displayed and the navigation item is selected.""]",,Code_File4,app_04,HealTech/app/src/main/java/com/example/healtech/fragments/BottomAppBarFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File4/app_04__BottomAppBarFragment_005
TC-BottomAppBarFragment-003,BottomAppBarFragment - onNavigationItemSelected - Home,BottomAppBarFragment,"[""HealTech/app/src/main/java/com/example/healtech/fragments/BottomAppBarFragment.java""]","[""onNavigationItemSelected""]","[""None""]","[""None""]","[""Launch the app"", ""Select the Home navigation item"", ""Verify that the Home fragment is displayed"", ""Verify that the navigation item is selected""]","[""The Home fragment is displayed and the navigation item is selected.""]",,Code_File4,app_04,HealTech/app/src/main/java/com/example/healtech/fragments/BottomAppBarFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File4/app_04__BottomAppBarFragment_005
TC-BottomAppBarFragment-004,BottomAppBarFragment - onNavigationItemSelected - CO2,BottomAppBarFragment,"[""HealTech/app/src/main/java/com/example/healtech/fragments/BottomAppBarFragment.java""]","[""onNavigationItemSelected""]","[""None""]","[""None""]","[""Launch the app"", ""Select the CO2 navigation item"", ""Verify that the CO2 fragment is displayed"", ""Verify that the navigation item is selected""]","[""The CO2 fragment is displayed and the navigation item is selected.""]",,Code_File4,app_04,HealTech/app/src/main/java/com/example/healtech/fragments/BottomAppBarFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File4/app_04__BottomAppBarFragment_005
TC-BottomAppBarFragment-005,BottomAppBarFragment - onNavigationItemSelected - HW,BottomAppBarFragment,"[""HealTech/app/src/main/java/com/example/healtech/fragments/BottomAppBarFragment.java""]","[""onNavigationItemSelected""]","[""None""]","[""None""]","[""Launch the app"", ""Select the HW navigation item"", ""Verify that the HW fragment is displayed"", ""Verify that the navigation item is selected""]","[""The HW fragment is displayed and the navigation item is selected.""]",,Code_File4,app_04,HealTech/app/src/main/java/com/example/healtech/fragments/BottomAppBarFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File4/app_04__BottomAppBarFragment_005
TC-BottomAppBarFragment-006,BottomAppBarFragment - onNavigationItemSelected - Tips,BottomAppBarFragment,"[""HealTech/app/src/main/java/com/example/healtech/fragments/BottomAppBarFragment.java""]","[""onNavigationItemSelected""]","[""None""]","[""None""]","[""Launch the app"", ""Select the Tips navigation item"", ""Verify that the Tips fragment is displayed"", ""Verify that the navigation item is selected""]","[""The Tips fragment is displayed and the navigation item is selected.""]",,Code_File4,app_04,HealTech/app/src/main/java/com/example/healtech/fragments/BottomAppBarFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File4/app_04__BottomAppBarFragment_005
TC-CambioComponentiFragment-001,Verify that the fragment is created correctly,CambioComponentiFragment,"[""HealTech/app/src/main/java/com/example/healtech/fragments/CambioComponentiFragment.java""]","[""onCreateView""]","[""None""]","[""None""]","[""Launch the app"", ""Navigate to the CambioComponentiFragment"", ""Verify that the fragment is displayed correctly""]","[""The fragment is displayed correctly and the UI elements are properly initialized""]",,Code_File4,app_04,HealTech/app/src/main/java/com/example/healtech/fragments/CambioComponentiFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File4/app_04__CambioComponentiFragment_006
TC-CambioComponentiFragment-002,"Verify that the fragment is updated correctly when the user clicks the ""OK"" button",CambioComponentiFragment,"[""HealTech/app/src/main/java/com/example/healtech/fragments/CambioComponentiFragment.java""]","[""onClick""]","[""The user has checked at least one of the \""Battery\"" or \""Display\"" checkboxes""]","[""None""]","[""Launch the app"", ""Navigate to the CambioComponentiFragment"", ""Check at least one of the \""Battery\"" or \""Display\"" checkboxes"", ""Click the \""OK\"" button"", ""Verify that the fragment is updated correctly""]","[""The fragment is updated correctly and the user's carbon footprint is updated in the Firebase Realtime Database""]",,Code_File4,app_04,HealTech/app/src/main/java/com/example/healtech/fragments/CambioComponentiFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File4/app_04__CambioComponentiFragment_006
TC-CambioComponentiFragment-003,"Verify that the fragment is updated correctly when the user unchecks the ""Battery"" checkbox",CambioComponentiFragment,"[""HealTech/app/src/main/java/com/example/healtech/fragments/CambioComponentiFragment.java""]","[""onClick""]","[""The user has checked the \""Battery\"" checkbox""]","[""None""]","[""Launch the app"", ""Navigate to the CambioComponentiFragment"", ""Check the \""Battery\"" checkbox"", ""Uncheck the \""Battery\"" checkbox"", ""Click the \""OK\"" button"", ""Verify that the fragment is updated correctly""]","[""The fragment is updated correctly and the user's carbon footprint is updated in the Firebase Realtime Database""]",,Code_File4,app_04,HealTech/app/src/main/java/com/example/healtech/fragments/CambioComponentiFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File4/app_04__CambioComponentiFragment_006
TC-CambioComponentiFragment-004,"Verify that the fragment is updated correctly when the user unchecks the ""Display"" checkbox",CambioComponentiFragment,"[""HealTech/app/src/main/java/com/example/healtech/fragments/CambioComponentiFragment.java""]","[""onClick""]","[""The user has checked the \""Display\"" checkbox""]","[""None""]","[""Launch the app"", ""Navigate to the CambioComponentiFragment"", ""Check the \""Display\"" checkbox"", ""Uncheck the \""Display\"" checkbox"", ""Click the \""OK\"" button"", ""Verify that the fragment is updated correctly""]","[""The fragment is updated correctly and the user's carbon footprint is updated in the Firebase Realtime Database""]",,Code_File4,app_04,HealTech/app/src/main/java/com/example/healtech/fragments/CambioComponentiFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File4/app_04__CambioComponentiFragment_006
TC-CambioComponentiFragment-005,"Verify that the fragment is updated correctly when the user checks the ""Battery"" and ""Display"" checkboxes",CambioComponentiFragment,"[""HealTech/app/src/main/java/com/example/healtech/fragments/CambioComponentiFragment.java""]","[""onClick""]","[""The user has not checked any of the \""Battery\"" or \""Display\"" checkboxes""]","[""None""]","[""Launch the app"", ""Navigate to the CambioComponentiFragment"", ""Check the \""Battery\"" checkbox"", ""Check the \""Display\"" checkbox"", ""Click the \""OK\"" button"", ""Verify that the fragment is updated correctly""]","[""The fragment is updated correctly and the user's carbon footprint is updated in the Firebase Realtime Database""]",,Code_File4,app_04,HealTech/app/src/main/java/com/example/healtech/fragments/CambioComponentiFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File4/app_04__CambioComponentiFragment_006
TC-CambioComponentiFragment-006,"Verify that the fragment is updated correctly when the user checks the ""Battery"" checkbox and then unchecks it",CambioComponentiFragment,"[""HealTech/app/src/main/java/com/example/healtech/fragments/CambioComponentiFragment.java""]","[""onClick""]","[""The user has checked the \""Battery\"" checkbox""]","[""None""]","[""Launch the app"", ""Navigate to the CambioComponentiFragment"", ""Check the \""Battery\"" checkbox"", ""Uncheck the \""Battery\"" checkbox"", ""Click the \""OK\"" button"", ""Verify that the fragment is updated correctly""]","[""The fragment is updated correctly and the user's carbon footprint is updated in the Firebase Realtime Database""]",,Code_File4,app_04,HealTech/app/src/main/java/com/example/healtech/fragments/CambioComponentiFragment.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File4/app_04__CambioComponentiFragment_006
